onderwerp,,
geluidbelasting,,
tgv,,
“,,
De,,
Harmonie,,
”,,
opdrachtnummer,,
09-127,,
bestand,,
09-127b1.doc,,
bladzijde,,
pagina,,
1,,
van,,
2,,
akoestie,,
k,,
ADVIESBUROVANDERBOOM,,
Lore,,
eta,,
.,,
Zaadmarkt,,
87,,
sinds,,
1971,,
7201,,
DC,,
Zutphen,,
telefoon,,
GEMEENTE,,
Wij,,
Z8SWIJK,,
SENT,,
EE,,
NE,,
fax,,
Sesent,,
|,,
P,,
0575-545648,,
Architektenbureau,,
H.,B-PER,B_PER_1
ten,I-PER,I_PER_1
Dolle,I-PER,I_PER_1
b.v,,
bsite,,
ee,,
U,,
wekevndenanntes,,
nl,,
Ligusterlaan,,
18-22,,
Dat.ontv.,,
0,,
7,,
JUN,,
2010,,
7101,,
WX,,
WINTERSWIJK,,
e-mail,,
Nr.,,
brief,,
é,,
info@vanderboomadvies.nl,,
3303,,
Beh.,,
|vaor,,
Afgedaan,,
Par.,,
lid,,
Afd,,
.,,
Kv,,
gecertificeerd,,
Zutphen,,
",",,
29,,
april,,
2010,,
Geachte,,
heer,,B_PER_1
Ten,B-PER,I_PER_1
Dolle,I-PER,I_PER_1
",",,
Op,,
6,,
mei,,
2009,,
hebben,,
wij,,B_PER_2
onderzoek,,
verricht,,
naar,,
de,,
geluidbelasting,,
door,,
wegverkeer,,
op,,
de,,
verbouwing,,
van,,
het,,
pand,,
aan,,
de,,
Groenloseweg,,
63,,
te,,
Winterswijk,,
.,,
In,,
aanvulling,,
op,,
dit,,
akoestisch,,
onderzoek,,
",",,
met,,
rapportnummer,,
-9,,
127r1,,
",",,
het,,
volgende,,
:,,
Geluidbelasting,,
door,,
inrichting,,
“,,
De,,
Harmonie,,
”,,
Het,,
te,,
verbouwen,,
pand,,
ligt,,
op,,
17,,
meter,,
uit,,
de,,
grens,,
van,,
“de,,
Harmonie”,,
gelegen,,
aan,,
de,,
Groenloseweg,,
60,,
te,,
Winterswijk,,
.,,
Het,,
pand,,
ligt,,
daarbij,,
op,,
ca,,
23,,
meter,,
uit,,
de,,
gevel,,
van,,
de,,
feestzaal,,
van,,
“,,
De,,
Harmonie,,
”,,
(,,
zie,,
tekening,,
1,,
),,
.,,
In,,
deze,,
feestzaal,,
wordt,,
muziekgeluid,,
ten,,
gehore,,
gebracht,,
met,,
hoge,,
geluidniveaus,,
.,,
De,,
inrichting,,
dient,,
te,,
voldoen,,
aan,,
de,,
grenswaarden,,
uit,,
het,,
Activiteitenbesluit,,
.,,
Deze,,
grenswaarden,,
gelden,,
op,,
de,,
gevels,,
van,,
woningen,,
.,,
Onderzocht,,
dient,,
te,,
worden,,
of,,
de,,
grenswaarden,,
op,,
de,,
gevels,,
van,,
het,,
te,,
verbouwen,,
pand,,
niet,,
worden,,
overschreden,,
in,,
geval,,
dat,,
in,,
de,,
huidige,,
situatie,,
aan,,
de,,
grenswaarden,,
wordt,,
voldaan,,
.,,
In,,
dat,,
geval,,
zou,,
de,,
inrichting,,
worden,,
beperkt,,
in,,
zijn,,
bedrijfsvoering,,
na,,
de,,
verbouw,,
van,,
het,,
pand,,
.,,
Maatgevende,,
woning,,
In,,
de,,
huidige,,
toestand,,
dient,,
de,,
inrichting,,
aan,,
de,,
grenswaarden,,
uit,,
het,,
Activiteitenbesluit,,
te,,
voldoen,,
.,,
Indien,,
op,,
de,,
maatgevende,,
woning,,
aan,,
de,,
grenswaarden,,
wordt,,
voldaan,,
wordt,,
