	files	COR	PAR	INC	MIS	SPU	NON
0	tokenized_tb_NL.IMRO.0439.BPWMW2011-on01_3_1_1	8	0	2	21	1	246
1	annotated_bijlage-4HEURA	3	0	2	45	0	779
2	tokenized_Bijlage-204-3A-20Besluit-20afwijzing-20handhavingsverzoek	4	0	0	27	3	480
3	Beantwoording_Brandbrief_Stichting_Varkens_in_Nood	3	0	1	54	1	1788
4	tokenized_2018-02-06-20Brief-20college2006-02-2018-20betr	13	1	6	43	1	2758
5	annotated_bijlage-4	3	0	2	45	0	779
6	tokenized_b_NL.IMRO.9926.IP1411-0001_tb11	7	0	10	65	7	2641
7	annotated_PDO-1048429	10	0	7	164	1	3386
8	tokenized_Verslag_openbare_commissie_Mens_en_Samenleving,_2021-09-30	18	0	11	489	37	6393
9	tokenized_tb_NL.IMRO.0294.BP1001KOgroenlos63-OW01_2	3	0	0	27	0	1136
10	annotated_afschrift-van-brief-aan-de-veteranenombudsman-over-noodopvang-veterane	6	0	0	36	0	504
11	tokenized_ah-tk-20212022-2930	2	0	4	38	0	3458
12	tokenized_tb_NL.IMRO.0294.BP1001KOgroenlos63-OW01_2_1	5	0	1	2	0	536
13	tokenized_Brief20aan20ministers20Ollongren20en20Van20't20Wout20inz20wetsvoorstel2020Wijziging20Tijdelijke20Wet20Groninge	6	0	5	24	0	1505
14	tokenized_tb_NL.IMRO.0439.BPWMW2011-on01_3_1	7	0	2	9	0	659
