Tweede,,
Kamer,,
der,,
Staten-Generaal,,
2,,
Vergaderjaar,,
2021–2022,,
Aanhangsel,,
van,,
de,,
Handelingen,,
Vragen,,
gesteld,,
door,,
de,,
leden,,
der,,
Kamer,,
",",,
met,,
de,,
daarop,,
door,,
de,,
regering,,
gegeven,,
antwoorden,,
2930,,
Vragen,,
van,,
de,,
leden,,
Azarkan,B-PER,B_PER_1
(,,
DENK,,
),,
en,,
Sylvana,B-PER,B_PER_2
Simons,I-PER,I_PER_2
(,,
BIJ1,,
),,
aan,,
de,,
Minister,,
van,,
Justitie,,
en,,
Veiligheid,,
over,,
de,,
discriminerende,,
rapportages,,
van,,
de,,
NCTV,,
(,,
ingezonden,,
4,,
mei,,
2022,,
),,
.,,
Antwoord,,
van,,B_PER_3
Minister,,I_PER_3
Yes¸ilgöz-Zegerius,B-PER,I_PER_3
(,,
Justitie,,
en,,
Veiligheid,,
),,
(,,
ontvangen,,
31,,
mei,,
2022,,
),,
.,,
Zie,,
ook,,
Aanhangsel,,
Handelingen,,
",",,
vergaderjaar,,
2021–2022,,
",",,
nr.,,
2855,,
.,,
Vraag,,
1,,
",",,
2,,
en,,
3,,
Bent,,
u,,B_PER_3
op,,
de,,
hoogte,,
van,,
de,,
discriminerende,,
rapportages,,
van,,
de,,
Nationaal,,
Coordinator,,
Terrorismebestrijding,,
en,,
Veiligheid,,
(,,
NCTV,,
),,
",",,
waarin,,
bepaalde,,
politieke,,
partijen,,
zoals,,
DENK,,
en,,
BIJ1,,
worden,,
onderzocht,,
?,,
1,,
Deelt,,
u,,B_PER_3
de,,
mening,,
dat,,
het,,
niet,,
de,,
taak,,
is,,
van,,
het,,
NCTV,,
allerlei,,
stigmatise-,,
rende,,
(,,
voor)oordelen,,
te,,
plakken,,
op,,
bepaalde,,
politieke,,
stromingen,,
en,,
partijen,,
in,,
Nederland,,
?,,
Deelt,,
u,,B_PER_3
de,,
mening,,
dat,,
dit,,
niet,,
tot,,
het,,
takenpakket,,
van,,
de,,
NCTV,,
hoort,,
?,,
Zo,,
nee,,
",",,
waarom,,
niet,,
?,,
Antwoord,,
1,,
",",,
2,,
en,,
3,,
Ja,,
Vraag,,
4,,
Hoe,,
is,,
de,,
NCTV,,
hiertoe,,
gekomen,,
?,,
Wie,,
heeft,,
de,,
NCTV,,
hiertoe,,
opdracht,,
gegeven,,
?,,
Antwoord,,
4,,
Het,,
delen,,
van,,
kennis,,
en,,
expertise,,
over,,
fenomenen,,
(,,
zoals,,
extreemrechts,,
of,,
accelerationisme,,
),,
en,,
maatschappelijke,,
ontwikkelingen,,
die,,
relevant,,
zijn,,
voor,,
de,,
nationale,,
veiligheid,,
is,,
een,,
belangrijke,,
taak,,
voor,,
de,,
NCTV,,
.,,
Om,,
zijn,,
werk,,
goed,,
te,,
kunnen,,
doen,,
",",,
is,,
het,,
daarom,,
belangrijk,,
dat,,
de,,
NCTV,,
vroegtijdig,,
zicht,,
heeft,,
op,,
wat,,
er,,
leeft,,
",",,
of,,
soms,,
broeit,,
",",,
in,,
de,,
samenleving,,
.,,
Om,,
dergelijke,,
ontwikkelingen,,
op,,
het,,
gebied,,
van,,
nationale,,
veiligheid,,
te,,
kunnen,,
signaleren,,
",",,
duiden,,
en,,
tot,,
een,,
geïntegreerd,,
beeld,,
te,,
komen,,
",",,
is,,
bij,,
de,,
oprichting,,
van,,
de,,
NCTV,,
(,,
2005-2011,,
genaamd,,
NCTb,,
),,
voorzien,,
in,,
een,,
verantwoordelijkheid,,
hiertoe,,
.,,
De,,
NCTV,,
kreeg,,
naast,,
een,,
functie,,
voor,,
het,,
coördineren,,
op,,
het,,
gebied,,
1,,
https://www.nrc.nl/nieuws/2022/05/02/nctv-waarschuwde-jaren-voor-polariserende-politieke-,,
partijen-a4119961,,
ah-tk-20212022-2930,,
ISSN,,
921,,
-,,
7398,,
’s-Gravenhage,,
2022,,
Tweede,,
Kamer,,
",",,
vergaderjaar,,
2021–2022,,
",",,
Aanhangsel,,
1,,
van,,
nationale,,
veiligheid,,
",",,
ook,,
de,,
verantwoordelijkheid,,
om,,
te,,
komen,,
tot,,
integrale,,
analyses,,
die,,
relevant,,
zijn,,
voor,,
de,,
nationale,,
veiligheid,,
.,,
Dit,,
is,,
opgenomen,,
in,,
het,,
Organisatiebesluit,,
van,,
het,,
Ministerie,,
van,,
Justitie,,
en,,
Veiligheid,,
.,,
Om,,
samenwerkingspartners,,
bewust,,
te,,
maken,,
van,,
(,,
mogelijk,,
),,
zorgwekkende,,
ontwikkelingen,,
en,,
actuele,,
gebeurtenissen,,
in,,
de,,
samenleving,,
",",,
maakte,,
de,,
NCTV,,
tot,,
maart,,
2021,,
Weekberichten,,
Internetmonitoring,,
.,,
De,,
ontvangers,,
",",,
bijvoorbeeld,,
beleidsmedewerkers,,
van,,
gemeenten,,
",",,
konden,,
die,,
Weekberichten,,
gebruiken,,
om,,
inzichten,,
op,,
te,,
doen,,
rond,,
thema’s,,
die,,
relevant,,
waren,,
voor,,
de,,
nationale,,
veiligheid,,
.,,
De,,
NCTV,,
stelde,,
deze,,
Weekberichten,,
niet,,
op,,
in,,
politieke,,
opdracht,,
van,,
het,,
Kabinet,,
of,,
de,,
Minister,,
van,,
Justitie,,
en,,
Veiligheid,,
.,,
Voor,,
het,,
opstellen,,
van,,
Weekberichten,,
werd,,
gebruik,,
gemaakt,,
van,,
open,,
bronnen,,
die,,
voor,,
een,,
ieder,,
toegankelijk,,
zijn,,
als,,
krantenberichten,,
",",,
weten-,,
schappelijke,,
verhandelingen,,
en,,
open,,
online,,
bronnen,,
",",,
zoals,,
Twitterberichten,,
.,,
Hierbij,,
kwamen,,
ook,,
openbare,,
uitingen,,
van,,
relevante,,
personen,,
die,,
veel,,
aandacht,,
kregen,,
en,,
tot,,
discussies,,
leiden,,
",",,
in,,
beeld,,
.,,
Zo,,
is,,
ook,,
een,,
aantal,,
Kamerleden,,B_PER_6
genoemd,,
in,,
die,,
Weekberichten,,
.,,
In,,
een,,
aantal,,
Weekberichten,,
klonken,,
normatieve,,
stellingnames,,
door,,
over,,
Kamerleden,,
.,,
Dat,,
had,,
niet,,
gemoeten,,
.,,
