datum,,
24-5-2018,,
dossiercode,,
20180524-12-17944,,
Project,,
:,,
Bestemmingsplan,,
Purmerweg,,
19-21,,
2018,,
Gemeente,,
:,,
Purmerend,,
Aanvrager,,
:,,
Mevrouw,,B_PER_1
M.,B-PER,I_PER_1
Verheijen,I-PER,I_PER_1
Organisatie,,
:,,
Bugel,,
Hajema,,
Adviseurs,,
Geachte,,
heer/mevrouw,,
Mevrouw,,B_PER_1
M.,B-PER,I_PER_1
Verheijen,I-PER,I_PER_1
",",,
Voor,,
het,,
plan,,
Bestemmingsplan,,
Purmerweg,,
19-21,,
2018,,
heeft,,
u,,B_PER_1
advies,,
aangevraagd,,
in,,
het,,
kader,,
van,,
de,,
watertoets,,
op,,
www.dewatertoets.nl.,,
Met,,
de,,
gegevens,,
die,,
u,,B_PER_1
heeft,,
opgegeven,,
is,,
bepaald,,
dat,,
bepaalde,,
aspecten,,
van,,
het,,
plan,,
een,,
zodanige,,
invloed,,
hebben,,
op,,
de,,
belangen,,
van,,
het,,
hoogheemraadschap,,
dat,,
de,,
normale,,
procedure,,
moet,,
worden,,
gevolgd,,
.,,
Dit,,
betekent,,
dat,,
wij,,
in,,
overleg,,
met,,
u,,B_PER_1
willen,,
bespreken,,
hoe,,
in,,
uw,,B_PER_1
plan,,
rekening,,
kan,,
worden,,
gehouden,,
deze,,
waterhuishoudkundige,,
belangen,,
.,,
Om,,
het,,
watertoetsproces,,
zo,,
vlot,,
mogelijk,,
te,,
laten,,
verlopen,,
",",,
sturen,,
wij,,
u,,B_PER_1
als,,
bijlage,,
een,,
automatisch,,
gegenereerd,,
concept,,
wateradvies,,
.,,
Dit,,
conceptadvies,,
is,,
in,,
twee,,
delen,,
opgesplitst,,
.,,
In,,
het,,
eerste,,
deel,,
van,,
het,,
conceptadvies,,
geven,,
wij,,
aan,,
over,,
welke,,
onderwerpen,,
nader,,
overleg,,
met,,
het,,
hoogheemraadschap,,
noodzakelijk,,
is,,
.,,
Het,,
tweede,,
deel,,
van,,
het,,
conceptadvies,,
bevat,,
de,,
onderwerpen,,
die,,
slechts,,
een,,
beperkte,,
invloed,,
hebben,,
op,,
de,,
belangen,,
van,,
het,,
hoogheemraadschap,,
en,,
die,,
ondervangen,,
kunnen,,
worden,,
met,,
standaard,,
maatregelen,,
.,,
Dit,,
tweede,,
deel,,
van,,
het,,
advies,,
kunt,,
u,,B_PER_1
gebruiken,,
om,,
alvast,,
een,,
eerste,,
aanzet,,
te,,
geven,,
tot,,
de,,
waterparagraaf,,
in,,
de,,
ruimtelijke,,
onderbouwing,,
.,,
Wij,,
nemen,,
binnen,,
drie,,
weken,,
contact,,
met,,
u,,B_PER_1
op,,
om,,
nadere,,
afspraken,,
te,,
maken,,
en,,
advies,,
te,,
geven,,
over,,
de,,
nog,,
openstaande,,
waterbelangen,,
.,,
Als,,
u,,B_PER_1
eerder,,
een,,
afspraak,,
wilt,,
maken,,
",",,
dan,,
kunt,,
u,,B_PER_1
contact,,
met,,
ons,,
opnemen,,
via,,
ons,,
algemene,,
nummer,,
72,,
582,,
8282,,
en,,
vragen,,
naar,,
de,,
contactpersoon,,
voor,,
de,,
gemeente,,
waarin,,
uw,,B_PER_1
plan,,
zich,,
bevindt,,
.,,
Naast,,
het,,
bijgevoegde,,
conceptadvies,,
kunt,,
u,,B_PER_1
op,,
onze,,
website,,
meer,,
informatie,,
vinden,,
over,,
de,,
watertoets,,
in,,
het,,
algemeen,,
:,,
https://www.hhnk.nl/portaal/schoon-en-gezond-water_3556/item/watertoets_3017.html.,,
LET,,
OP,,
:,,
Het,,
(,,
concept)wateradvies,,
is,,
geen,,
aanvraag,,
voor,,
een,,
Watervergunning,,
.,,
Onze,,
conclusie,,
en,,
wateradvies,,
mogen,,
alleen,,
gebruikt,,
worden,,
tijdens,,
de,,
(,,
ruimtelijke,,
),,
