	token	gold	model
0	>	['']	[]
1	Retouradres	['']	[]
2	Postbus	['']	[]
3	43006	['']	[]
4	3540	['']	[]
5	AA	['']	[]
6	Utrecht	['']	[]
7	Stichting	['']	[]
8	Varkens	['']	[]
9	in	['']	[]
10	Nood	['']	[]
11	T.a.v.	['']	[]
12	mevrouw	['B_PER_1']	['B_PER_1']
13	F.	['I_PER_1']	['I_PER_1']
14	Schouten	['I_PER_1']	['I_PER_1']
15	Postbus	['']	[]
16	14584	['']	[]
17	1001	['']	[]
18	LB	['']	[]
19	AMSTERDAM	['']	[]
20	Datum	['']	[]
21	26	['']	[]
22	mei	['']	[]
23	2023	['']	[]
24	Betreft	['']	[]
25	Uw	['B_PER_1']	[]
26	brief	['']	[]
27	van	['']	[]
28	7	['']	[]
29	maart	['']	[]
30	jl.	['']	[]
31	over	['']	[]
32	maatregelen	['']	[]
33	tegen	['']	[]
34	terugkerende	['']	[]
35	mishandelingen	['']	[]
36	in	['']	[]
37	slachthuizen	['']	[]
38	Pagina	['']	[]
39	1	['']	[]
40	van	['']	[]
41	4	['']	[]
42	Nederlandse	['']	[]
43	Voedsel-	['']	[]
44	en	['']	[]
45	Warenautoriteit	['']	[]
46	Bezoekadres	['']	[]
47	Catharijnesingel	['']	[]
48	59	['']	[]
49	3511	['']	[]
50	GG	['']	[]
51	Utrecht	['']	[]
52	Postadres	['']	[]
53	Postbus	['']	[]
54	43006	['']	[]
55	3540	['']	[]
56	AA	['']	[]
57	Utrecht	['']	[]
58	T	['']	[]
59	88	['']	[]
60	223	['']	[]
61	3333	['']	[]
62	(	['']	[]
63	algemeen	['']	[]
64	)	['']	[]
65	F	['']	[]
66	88	['']	[]
67	223	['']	[]
68	3334	['']	[]
69	(	['']	[]
70	algemeen	['']	[]
71	)	['']	[]
72	www.nvwa.nl	['']	[]
73	Ons	['']	[]
74	kenmerk	['']	[]
75	NVWA	['']	[]
76	/	['']	[]
77	27095195	['']	[]
78	Geachte	['']	[]
79	mevrouw	['B_PER_1']	['B_PER_2']
80	Schouten	['I_PER_1']	['I_PER_3']
81	,	['']	[]
82	In	['']	[]
83	uw	['B_PER_1']	[]
84	brief	['']	[]
85	van	['']	[]
86	7	['']	[]
87	maart	['']	[]
88	2023	['']	[]
89	vraagt	['']	[]
90	u	['B_PER_1']	[]
91	namens	['']	[]
92	de	['']	[]
93	Stichting	['']	[]
94	Varkens	['']	[]
95	in	['']	[]
96	Nood	['']	[]
97	om	['']	[]
98	een	['']	[]
99	zerotolerancebeleid	['']	[]
100	te	['']	[]
101	hanteren	['']	[]
102	bij	['']	[]
103	het	['']	[]
104	bedwelmen	['']	[]
105	en	['']	[]
106	doden	['']	[]
107	van	['']	[]
108	varkens	['']	[]
109	in	['']	[]
110	slachthuizen	['']	[]
111	.	['']	[]
112	U	['B_PER_1']	[]
113	stelt	['']	[]
114	dat	['']	[]
115	rapportages	['']	[]
116	van	['']	[]
117	de	['']	[]
118	Nederlandse	['']	[]
119	Voedsel-	['']	[]
120	en	['']	[]
121	Warenautoriteit	['']	[]
122	(	['']	[]
123	NVWA	['']	[]
124	)	['']	[]
125	ieder	['']	[]
126	jaar	['']	[]
127	opnieuw	['']	[]
128	fouten	['']	[]
129	onthullen	['']	[]
130	tijdens	['']	[]
131	het	['']	[]
132	proces	['']	[]
133	van	['']	[]
134	bedwelmen	['']	[]
135	,	['']	[]
136	verbloeden	['']	[]
137	en	['']	[]
138	de	['']	[]
139	controle	['']	[]
140	hierop	['']	[]
141	in	['']	[]
142	Nederlandse	['']	[]
143	varkensslachterijen	['']	[]
144	en	['']	[]
145	vraagt	['']	[]
146	om	['']	[]
147	daadkrachtig	['']	[]
148	op	['']	[]
149	te	['']	[]
150	treden	['']	[]
151	en	['']	[]
152	aanvullende	['']	[]
153	maatregelen	['']	[]
154	te	['']	[]
155	nemen	['']	[]
156	om	['']	[]
157	dergelijke	['']	[]
158	fouten	['']	[]
159	in	['']	[]
160	de	['']	[]
161	toekomst	['']	[]
162	te	['']	[]
163	voorkomen	['']	[]
164	.	['']	[]
165	Ik	['B_PER_2']	[]
166	wil	['']	[]
167	u	['B_PER_1']	[]
168	bedanken	['']	[]
169	voor	['']	[]
170	uw	['B_PER_1']	[]
171	brief	['']	[]
172	en	['']	[]
173	het	['']	[]
174	aan	['']	[]
175	de	['']	[]
176	orde	['']	[]
177	stellen	['']	[]
178	van	['']	[]
