	token	gold	model
0	>	['']	[]
1	Retouradres	['']	[]
2	Postbus	['']	[]
3	20011	['']	[]
4	2500	['']	[]
5	EA	['']	[]
6	Den	['']	[]
7	Haag	['']	[]
8	Vereniging	['']	[]
9	van	['']	[]
10	Nederlandse	['']	[]
11	Projectontwikkeling	['']	[]
12	Maatschappijen	['']	[]
13	(	['']	[]
14	NEPROM	['']	[]
15	)	['']	[]
16	T.a.v	['']	[]
17	.	['']	[]
18	Voorzitter	['B_PER_1']	[]
19	NEPROM	['I_PER_1']	[]
20	,	['']	[]
21	Desirée	['B_PER_1']	['B_PER_1']
22	Uitzetter	['I_PER_1']	['I_PER_1']
23	Postbus	['']	[]
24	620	['']	[]
25	2270	['']	[]
26	AP	['']	[]
27	Voorburg	['']	[]
28	Datum	['']	[]
29	18	['']	[]
30	januari	['']	[]
31	2023	['']	[]
32	Betreft	['']	[]
33	Reactie	['']	[]
34	op	['']	[]
35	rapport	['']	[]
36	‘terugdringen	['']	[]
37	onnodige	['']	[]
38	vertraging	['']	[]
39	woningbouw	['']	[]
40	door	['']	[]
41	bezwaar-	['']	[]
42	en	['']	[]
43	beroepsprocedures	['']	[]
44	’	['']	[]
45	Volkshuisvesting	['']	[]
46	en	['']	[]
47	Bouwen	['']	[]
48	Woningbouw	['']	[]
49	Turfmarkt	['']	[]
50	147	['']	[]
51	Den	['']	[]
52	Haag	['']	[]
53	Postbus	['']	[]
54	20011	['']	[]
55	2500	['']	[]
56	EA	['']	[]
57	Den	['']	[]
58	Haag	['']	[]
59	www.rijksoverheid.nl	['']	[]
60	www.linkedin.com/company/	['']	[]
61	ministerie-van-bzk	['']	[]
62	Kenmerk	['']	[]
63	2022-0000717050	['']	[]
64	Uw	['']	[]
65	kenmerk	['']	[]
66	20220901/JF/NZ/sab	['']	[]
67	Bijlage	['']	[]
68	(	['']	[]
69	n	['']	[]
70	)	['']	[]
71	2	['']	[]
72	Pagina	['']	[]
73	1	['']	[]
74	van	['']	[]
75	3	['']	[]
76	Geachte	['']	[]
77	mevrouw	['B_PER_1']	['B_PER_2']
78	Uitzetter	['I_PER_1']	['I_PER_3']
79	,	['']	[]
80	Op	['']	[]
81	1	['']	[]
82	september	['']	[]
83	2022	['']	[]
84	heeft	['']	[]
85	u	['B_PER_1']	[]
86	het	['']	[]
87	rapport	['']	[]
88	‘	['']	[]
89	Terugdringen	['']	[]
90	onnodige	['']	[]
91	vertraging	['']	[]
92	woningbouw	['']	[]
93	door	['']	[]
94	bewaar-	['']	[]
95	en	['']	[]
96	beroepsprocedures	['']	[]
97	’	['']	[]
98	aan	['']	[]
99	mij	['B_PER_2']	[]
100	en	['']	[]
101	de	['B_PER_3']	[]
102	minister	['I_PER_3']	[]
103	voor	['I_PER_3']	[]
104	Rechtsbescherming	['I_PER_3']	[]
105	toegezonden	['']	[]
106	.	['']	[]
107	Mede	['']	[]
108	namens	['']	[]
109	de	['B_PER_3']	[]
110	minister	['I_PER_3']	[]
111	voor	['I_PER_3']	[]
112	Rechtsbescherming	['I_PER_3']	[]
113	ontvangt	['']	[]
114	u	['B_PER_1']	[]
115	hierbij	['']	[]
116	mijn	['B_PER_2']	[]
117	reactie	['']	[]
118	op	['']	[]
119	dit	['']	[]
120	rapport	['']	[]
121	.	['']	[]
122	In	['']	[]
123	dit	['']	[]
124	rapport	['']	[]
125	agendeert	['']	[]
126	u	['B_PER_1']	[]
127	het	['']	[]
128	onderwerp	['']	[]
129	‘versnellen	['']	[]
130	van	['']	[]
131	juridische	['']	[]
132	procedures	['']	[]
133	’	['']	[]
134	bij	['']	[]
135	de	['']	[]
136	ontwikkeling	['']	[]
137	en	['']	[]
138	bouw	['']	[]
139	van	['']	[]
140	nieuwe	['']	[]
141	woningen	['']	[]
142	en	['']	[]
143	met	['']	[]
144	name	['']	[]
145	daar	['']	[]
146	waar	['']	[]
147	vertraging	['']	[]
148	optreedt	['']	[]
149	door	['']	[]
150	(	['']	[]
151	onnodige	['']	[]
152	)	['']	[]
153	bezwaar-	['']	[]
154	en	['']	[]
155	beroepsprocedures	['']	[]
156	.	['']	[]
157	U	['B_PER_1']	[]
158	doet	['']	[]
159	een	['']	[]
160	aantal	['']	[]
161	concrete	['']	[]
162	voorstellen	['']	[]
163	voor	['']	[]
164	de	['']	[]
165	aanpassing	['']	[]
166	van	['']	[]
167	wet-	['']	[]
168	en	['']	[]
169	regelgeving	['']	[]
