	token	gold	model
0	Datum	['']	[]
1	Onze	['B_PER_1']	[]
2	referentie	['']	[]
3	Uw	['B_PER_2']	[]
4	referentie	['']	[]
5	Uw	['B_PER_2']	[]
6	brief	['']	[]
7	van	['']	[]
8	Brandweer	['']	[]
9	Zaanstreek-Waterland	['']	[]
10	BRANDWEER	['']	[]
11	GD	['']	['B_PER_1']
12	KOPIE	['']	[]
13	Prins	['']	[]
14	Bernhardplein	['']	[]
15	112	['']	[]
16	1508	['']	[]
17	XB	['']	[]
18	Zaandam	['']	[]
19	Postbus	['']	[]
20	150	['']	[]
21	1500	['']	[]
22	ED	['']	[]
23	Zaandam	['']	[]
24	Telefoon	['']	[]
25	075-681	['']	[]
26	18	['']	[]
27	11	['']	[]
28	Fax	['']	[]
29	075-617	['']	[]
30	41	['']	[]
31	41	['']	[]
32	risicobeheersing@vrzw.nl	['']	[]
33	Gemeente	['']	[]
34	Purmerend	['']	[]
35	Afdeling	['']	[]
36	Vergunningen	['']	[]
37	,	['']	[]
38	Toezicht	['']	[]
39	en	['']	[]
40	Handhaving	['']	[]
41	T.a.v.	['']	[]
42	mevrouw	['B_PER_2']	['B_PER_2']
43	J.H.H.	['I_PER_2']	['I_PER_3']
44	de	['I_PER_2']	['I_PER_3']
45	Bruijn	['I_PER_2']	['I_PER_3']
46	Postbus	['']	[]
47	15	['']	[]
48	1440	['']	[]
49	AA	['']	[]
50	PURMEREND	['']	[]
51	www.	['']	[]
52	vrzw.nl	['']	[]
53	18	['']	[]
54	april	['']	[]
55	2011	['']	[]
56	Telefoon	['']	[]
57	(	['']	[]
58	75	['']	[]
59	)	['']	[]
60	681	['']	[]
61	18	['']	[]
62	11	['']	[]
63	2011/21/RO/4594/2	['']	[]
64	Fax	['']	[]
65	(	['']	[]
66	75	['']	[]
67	)	['']	[]
68	617	['']	[]
69	41	['']	[]
70	41	['']	[]
71	612353	['']	[]
72	E-mail	['']	[]
73	risicobeheersing@vrzw.nl	['']	[]
74	23	['']	[]
75	maart	['']	[]
76	2011	['']	[]
77	Onderwerp	['']	[]
78	Advies	['']	[]
79	externe	['']	[]
80	veiligheid	['']	[]
81	bestemmingplan	['']	[]
82	Wheermolen	['']	[]
83	2010	['']	[]
84	te	['']	[]
85	Purmerend	['']	[]
86	Geachte	['']	[]
87	mevrouw	['B_PER_2']	['B_PER_4']
88	De	['I_PER_2']	['I_PER_5']
89	Bruijn	['I_PER_2']	['I_PER_5']
90	,	['']	[]
91	Op	['']	[]
92	23	['']	[]
93	maart	['']	[]
94	2011	['']	[]
95	heeft	['']	[]
96	u	['B_PER_2']	[]
97	VrZW	['']	[]
98	verzocht	['']	[]
