	token	gold	model
0	Tweede	['']	[]
1	Kamer	['']	[]
2	der	['']	[]
3	Staten-Generaal	['']	[]
4	2	['']	[]
5	Vergaderjaar	['']	[]
6	2021–2022	['']	[]
7	Aanhangsel	['']	[]
8	van	['']	[]
9	de	['']	[]
10	Handelingen	['']	[]
11	Vragen	['']	[]
12	gesteld	['']	[]
13	door	['']	[]
14	de	['']	[]
15	leden	['']	[]
16	der	['']	[]
17	Kamer	['']	[]
18	,	['']	[]
19	met	['']	[]
20	de	['']	[]
21	daarop	['']	[]
22	door	['']	[]
23	de	['']	[]
24	regering	['']	[]
25	gegeven	['']	[]
26	antwoorden	['']	[]
27	2930	['']	[]
28	Vragen	['']	[]
29	van	['']	[]
30	de	['']	[]
31	leden	['']	[]
32	Azarkan	['B_PER_1']	['B_PER_1']
33	(	['']	[]
34	DENK	['']	[]
35	)	['']	[]
36	en	['']	[]
37	Sylvana	['B_PER_2']	['B_PER_2']
38	Simons	['I_PER_2']	['I_PER_2']
39	(	['']	[]
40	BIJ1	['']	[]
41	)	['']	[]
42	aan	['']	[]
43	de	['']	[]
44	Minister	['']	[]
45	van	['']	[]
46	Justitie	['']	[]
47	en	['']	[]
48	Veiligheid	['']	[]
49	over	['']	[]
50	de	['']	[]
51	discriminerende	['']	[]
52	rapportages	['']	[]
53	van	['']	[]
54	de	['']	['B_PER_3']
55	NCTV	['']	['I_PER_3']
56	(	['']	[]
57	ingezonden	['']	[]
58	4	['']	[]
59	mei	['']	[]
60	2022	['']	[]
61	)	['']	[]
62	.	['']	[]
63	Antwoord	['']	[]
64	van	['B_PER_3']	[]
65	Minister	['I_PER_3']	['B_PER_2']
66	Yes¸ilgöz-Zegerius	['I_PER_3']	['I_PER_2']
67	(	['']	[]
68	Justitie	['']	[]
69	en	['']	[]
70	Veiligheid	['']	[]
71	)	['']	[]
72	(	['']	[]
73	ontvangen	['']	[]
74	31	['']	[]
75	mei	['']	[]
76	2022	['']	[]
77	)	['']	[]
78	.	['']	[]
79	Zie	['']	[]
80	ook	['']	[]
81	Aanhangsel	['']	[]
82	Handelingen	['']	[]
83	,	['']	[]
84	vergaderjaar	['']	[]
85	2021–2022	['']	[]
86	,	['']	[]
87	nr.	['']	[]
88	2855	['']	[]
89	.	['']	[]
90	Vraag	['']	[]
91	1	['']	[]
92	,	['']	[]
93	2	['']	[]
94	en	['']	[]
95	3	['']	[]
96	Bent	['']	[]
97	u	['B_PER_3']	['B_PER_4']
98	op	['']	[]
99	de	['']	[]
100	hoogte	['']	[]
101	van	['']	[]
102	de	['']	[]
103	discriminerende	['']	[]
104	rapportages	['']	[]
105	van	['']	[]
106	de	['']	[]
107	Nationaal	['']	[]
108	Coordinator	['']	[]
109	Terrorismebestrijding	['']	[]
110	en	['']	[]
111	Veiligheid	['']	[]
112	(	['']	[]
113	NCTV	['']	[]
114	)	['']	[]
115	,	['']	[]
116	waarin	['']	[]
117	bepaalde	['']	[]
118	politieke	['']	[]
119	partijen	['']	[]
120	zoals	['']	[]
121	DENK	['']	[]
122	en	['']	[]
123	BIJ1	['']	[]
124	worden	['']	[]
125	onderzocht	['']	[]
126	?	['']	[]
127	1	['']	[]
128	Deelt	['']	[]
129	u	['B_PER_3']	['B_PER_4']
130	de	['']	[]
131	mening	['']	[]
132	dat	['']	[]
133	het	['']	[]
134	niet	['']	[]
135	de	['']	[]
136	taak	['']	[]
137	is	['']	[]
138	van	['']	[]
139	het	['']	[]
140	NCTV	['']	[]
141	allerlei	['']	[]
142	stigmatise-	['']	[]
143	rende	['']	[]
144	(	['']	[]
145	voor	['']	[]
146	)oordelen	['']	[]
147	te	['']	[]
148	plakken	['']	[]
149	op	['']	[]
150	bepaalde	['']	[]
151	politieke	['']	[]
152	stromingen	['']	[]
153	en	['']	[]
154	partijen	['']	[]
155	in	['']	[]
156	Nederland	['']	[]
157	?	['']	[]
158	Deelt	['']	[]
159	u	['B_PER_3']	['B_PER_4']
160	de	['']	[]
161	mening	['']	[]
162	dat	['']	[]
163	dit	['']	[]
164	niet	['']	[]
165	tot	['']	[]
166	het	['']	[]
167	takenpakket	['']	[]
168	van	['']	[]
169	de	['']	['B_PER_3']
170	NCTV	['']	['I_PER_3']
171	hoort	['']	[]
172	?	['']	[]
173	Zo	['']	[]
174	nee	['']	[]
175	,	['']	[]
176	waarom	['']	[]
177	niet	['']	[]
178	?	['']	[]
179	Antwoord	['']	[]
180	1	['']	[]
181	,	['']	[]
182	2	['']	[]
183	en	['']	[]
184	3	['']	[]
185	Ja	['']	[]
186	Vraag	['']	[]
187	4	['']	[]
188	Hoe	['']	[]
189	is	['']	[]
190	de	['']	['B_PER_3']
191	NCTV	['']	['I_PER_3']
192	hiertoe	['']	[]
193	gekomen	['']	[]
194	?	['']	[]
195	Wie	['']	[]
196	heeft	['']	[]
197	de	['']	['B_PER_3']
198	NCTV	['']	['I_PER_3']
199	hiertoe	['']	[]
200	opdracht	['']	[]
201	gegeven	['']	[]
202	?	['']	[]
203	Antwoord	['']	[]
204	4	['']	[]
205	Het	['']	[]
206	delen	['']	[]
207	van	['']	[]
208	kennis	['']	[]
209	en	['']	[]
210	expertise	['']	[]
211	over	['']	[]
212	fenomenen	['']	[]
213	(	['']	[]
214	zoals	['']	[]
215	extreemrechts	['']	[]
216	of	['']	[]
217	accelerationisme	['']	[]
218	)	['']	[]
219	en	['']	[]
220	maatschappelijke	['']	[]
221	ontwikkelingen	['']	[]
222	die	['']	[]
223	relevant	['']	[]
224	zijn	['']	[]
225	voor	['']	[]
226	de	['']	[]
227	nationale	['']	[]
228	veiligheid	['']	[]
229	is	['']	[]
230	een	['']	[]
231	belangrijke	['']	[]
232	taak	['']	[]
233	voor	['']	[]
234	de	['']	['B_PER_3']
235	NCTV	['']	['I_PER_3']
236	.	['']	[]
237	Om	['']	[]
238	zijn	['']	['B_PER_3']
239	werk	['']	[]
240	goed	['']	[]
241	te	['']	[]
242	kunnen	['']	[]
243	doen	['']	[]
244	,	['']	[]
245	is	['']	[]
246	het	['']	[]
247	daarom	['']	[]
248	belangrijk	['']	[]
249	dat	['']	[]
250	de	['']	['B_PER_3']
251	NCTV	['']	['I_PER_3']
252	vroegtijdig	['']	[]
253	zicht	['']	[]
254	heeft	['']	[]
255	op	['']	[]
256	wat	['']	[]
257	er	['']	[]
258	leeft	['']	[]
259	,	['']	[]
260	of	['']	[]
261	soms	['']	[]
262	broeit	['']	[]
263	,	['']	[]
264	in	['']	[]
265	de	['']	[]
266	samenleving	['']	[]
267	.	['']	[]
268	Om	['']	[]
269	dergelijke	['']	[]
270	ontwikkelingen	['']	[]
271	op	['']	[]
272	het	['']	[]
273	gebied	['']	[]
274	van	['']	[]
275	nationale	['']	[]
276	veiligheid	['']	[]
277	te	['']	[]
278	kunnen	['']	[]
279	signaleren	['']	[]
280	,	['']	[]
281	duiden	['']	[]
282	en	['']	[]
283	tot	['']	[]
284	een	['']	[]
285	geïntegreerd	['']	[]
286	beeld	['']	[]
287	te	['']	[]
288	komen	['']	[]
289	,	['']	[]
290	is	['']	[]
291	bij	['']	[]
292	de	['']	[]
293	oprichting	['']	[]
294	van	['']	[]
295	de	['']	['B_PER_3']
296	NCTV	['']	['I_PER_3']
297	(	['']	[]
298	2005-2011	['']	[]
299	genaamd	['']	[]
300	NCTb	['']	['B_PER_3']
301	)	['']	[]
302	voorzien	['']	[]
303	in	['']	[]
304	een	['']	[]
305	verantwoordelijkheid	['']	[]
306	hiertoe	['']	[]
307	.	['']	[]
308	De	['']	['B_PER_3']
309	NCTV	['']	['I_PER_3']
310	kreeg	['']	[]
311	naast	['']	[]
312	een	['']	[]
313	functie	['']	[]
314	voor	['']	[]
315	het	['']	[]
