	token	gold	model
0	Wilt	['']	[]
1	u	['B_PER_1']	['B_PER_0']
2	bij	['']	[]
3	beantwoording	['']	[]
4	van	['']	[]
5	deze	['']	[]
6	brief	['']	[]
7	de	['']	[]
8	datum	['']	[]
9	en	['']	[]
10	ons	['']	['B_PER_1']
11	kenmerk	['']	[]
12	vermelden	['']	[]
13	.	['']	[]
14	Rijkswaterstaat	['']	[]
15	Utrecht	['']	[]
16	De	['B_PER_1']	[]
17	heer	['I_PER_1']	['B_PER_2']
18	S.	['I_PER_1']	['I_PER_2']
19	Vizee	['I_PER_1']	['I_PER_2']
20	Postbus	['']	[]
21	650	['']	[]
22	3430	['']	[]
23	AR	['']	[]
24	NIEUWEGEIN	['']	[]
25	Datum	['']	[]
26	Contactpersoon	['']	[]
27	Doorkiesnummer	['']	[]
28	2	['']	[]
29	november	['']	[]
30	2007	['']	[]
31	mevrouw	['B_PER_2']	['B_PER_2']
32	M.H.M.	['I_PER_2']	['I_PER_2']
33	Hilgeman	['I_PER_2']	['I_PER_2']
34	/	['']	[]
35	de	['B_PER_3']	[]
36	heer	['I_PER_3']	['B_PER_3']
37	P.A.	['I_PER_3']	['I_PER_3']
38	Molleman	['I_PER_3']	['I_PER_3']
39	(	['']	[]
40	30	['']	[]
41	)	['']	[]
42	634	['']	[]
43	58	['']	[]
44	33	['']	[]
45	/	['']	[]
46	(	['']	[]
47	30	['']	[]
48	)	['']	[]
49	634	['']	[]
50	58	['']	[]
51	13	['']	[]
52	Uw	['B_PER_1']	[]
53	brief	['']	[]
54	d.d	['']	[]
55	.	['']	[]
56	Uw	['B_PER_1']	[]
57	kenmerk	['']	[]
58	Ons	['']	[]
59	kenmerk	['']	[]
60	13	['']	[]
61	september	['']	[]
62	2007	['']	[]
63	jb/33341/avb	['']	[]
64	181170	['']	[]
65	Onderwerp	['']	[]
66	Bijlage	['']	[]
67	Keurvergunning	['']	[]
68	div.	['']	[]
69	Geachte	['']	[]
70	heer	['B_PER_1']	['B_PER_2']
71	Vizee	['I_PER_1']	['I_PER_2']
72	,	['']	[]
73	Op	['']	[]
74	13	['']	[]
75	september	['']	[]
76	2007	['']	[]
77	diende	['']	[]
78	u	['B_PER_1']	['B_PER_4']
79	,	['']	[]
80	via	['']	[]
81	MNO	['']	[]
82	,	['']	[]
83	een	['']	[]
84	aanvraag	['']	[]
85	in	['']	[]
86	voor	['']	[]
87	een	['']	[]
88	keurvergunning	['']	[]
89	.	['']	[]
90	Hieronder	['']	[]
91	treft	['']	[]
92	u	['B_PER_1']	['B_PER_5']
93	enkele	['']	[]
94	adviezen	['']	[]
95	aan	['']	[]
96	,	['']	[]
97	gevolgd	['']	[]
98	door	['']	[]
99	de	['']	[]
100	keurvergunning	['']	[]
101	.	['']	[]
102	Mogelijk	['']	[]
103	meer	['']	[]
104	vergunningen	['']	[]
105	nodig	['']	[]
106	Het	['']	[]
107	is	['']	[]
108	mogelijk	['']	[]
109	dat	['']	[]
110	u	['B_PER_1']	['B_PER_6']
111	nog	['']	[]
112	meer	['']	[]
113	vergunningen	['']	[]
114	nodig	['']	[]
115	heeft	['']	[]
116	.	['']	[]
117	Om	['']	[]
118	dit	['']	[]
119	na	['']	[]
120	te	['']	[]
121	gaan	['']	[]
122	,	['']	[]
123	kunt	['']	[]
124	u	['B_PER_1']	['B_PER_7']
125	contact	['']	[]
126	opnemen	['']	[]
127	met	['']	[]
128	de	['']	[]
129	gemeente	['']	[]
130	en	['']	[]
131	met	['']	[]
132	de	['']	[]
133	provincie	['']	[]
134	.	['']	[]
135	Verder	['']	[]
136	is	['']	[]
137	het	['']	[]
138	mogelijk	['']	[]
139	dat	['']	[]
140	u	['B_PER_1']	['B_PER_8']
141	toestemming	['']	[]
142	nodig	['']	[]
143	heeft	['']	[]
144	van	['']	[]
145	een	['']	[]
146	eventuele	['']	[]
147	(	['']	[]
148	mede	['']	[]
149	)	['']	[]
150	eigenaar	['']	[]
151	of	['']	[]
152	gebruiker	['']	[]
153	van	['']	[]
154	de	['']	[]
155	grond	['']	[]
156	.	['']	[]
157	U	['B_PER_1']	['B_PER_9']
158	kunt	['']	[]
159	pas	['']	[]
160	beginnen	['']	[]
161	met	['']	[]
162	de	['']	[]
163	werkzaamheden	['']	[]
164	,	['']	[]
165	wanneer	['']	[]
166	u	['B_PER_1']	['B_PER_10']
167	van	['']	[]
168	alle	['']	[]
169	betreffende	['']	[]
170	instanties	['']	[]
171	de	['']	[]
172	benodigde	['']	[]
173	vergunningen	['']	[]
174	en	['']	[]
175	dergelijke	['']	[]
176	heeft	['']	[]
177	ontvangen	['']	[]
178	.	['']	[]
179	Meldingsformulier	['']	[]
180	start	['']	[]
181	werkzaamheden	['']	[]
182	Bij	['']	[]
183	de	['']	[]
184	keurvergunning	['']	[]
185	treft	['']	[]
186	u	['B_PER_1']	['B_PER_11']
187	in	['']	[]
188	een	['']	[]
189	bijlage	['']	[]
190	het	['']	[]
191	meldingsformulier	['']	[]
192	aan	['']	[]
193	.	['']	[]
194	Hiermee	['']	[]
195	geeft	['']	[]
