	token	coref	ner
0	>	O	O
1	Retouradres	O	O
2	Postbus	O	O
3	43006	O	O
4	3540	O	O
5	AA	O	O
6	Utrecht	O	O
7	Stichting	O	O
8	Varkens	O	O
9	in	O	O
10	Nood	O	O
11	T.a.v.	O	O
12	mevrouw	(0	O
13	F.	O	B-PER
14	Schouten	0)	E-PER
15	Postbus	O	O
16	14584	O	O
17	1001	O	O
18	LB	O	O
19	AMSTERDAM	(1)	O
20	Datum	O	O
21	26	(2	O
22	mei	O	O
23	2023	2)	O
24	Betreft	O	O
25	Uw	(4|(3	O
26	brief	O	O
27	van	O	O
28	7	(5	O
29	maart	5)|3)	O
30	jl.	4)	O
31	over	O	O
32	maatregelen	O	O
33	tegen	O	O
34	terugkerende	O	O
35	mishandelingen	O	O
36	in	O	O
37	slachthuizen	(6)	O
38	Pagina	O	O
39	1	(7)	O
40	van	O	O
41	4	(8	O
42	Nederlandse	O	O
43	Voedsel-	O	O
44	en	O	O
45	Warenautoriteit	8)	O
46	Bezoekadres	O	O
47	Catharijnesingel	O	O
48	59	O	O
49	3511	O	O
50	GG	O	O
51	Utrecht	O	O
52	Postadres	O	O
53	Postbus	O	O
54	43006	O	O
55	3540	O	O
56	AA	O	O
57	Utrecht	O	O
58	T	O	O
59	88	O	O
60	223	O	O
61	3333	O	O
62	(	O	O
63	algemeen	O	O
64	)	O	O
65	F	O	O
66	88	O	O
67	223	O	O
68	3334	O	O
69	(	O	O
70	algemeen	O	O
71	)	O	O
72	www.nvwa.nl	O	O
73	Ons	O	O
74	kenmerk	O	O
75	NVWA	O	O
76	/	O	O
77	27095195	O	O
78	Geachte	O	O
79	mevrouw	O	O
80	Schouten	O	S-PER
81	,	O	O
82	In	O	O
83	uw	(9	O
84	brief	O	O
85	van	O	O
86	7	(10	O
87	maart	O	O
88	2023	10)|9)	O
89	vraagt	O	O
90	u	(11)	O
91	namens	O	O
92	de	(12	O
93	Stichting	O	O
94	Varkens	O	O
95	in	O	O
96	Nood	12)	O
97	om	O	O
98	een	(13	O
99	zerotolerancebeleid	O	O
100	te	O	O
101	hanteren	O	O
102	bij	O	O
103	het	(14	O
104	bedwelmen	O	O
105	en	O	O
106	doden	O	O
107	van	O	O
108	varkens	(15	O
109	in	O	O
110	slachthuizen	15)|14)|13)|(16)	O
111	.	O	O
112	U	(17)	O
113	stelt	O	O
114	dat	O	O
115	rapportages	(19|(18	O
