	token	coref	ner
0	Ministerie	(0	O
1	van	O	O
2	Volksgezondheid	(1)|(2	O
3	,	O	O
4	Welzijn	(3)	O
5	en	O	O
6	Sport	2)|0)|(4)	O
7	>	O	O
8	Retouradres	O	O
9	Postbus	O	O
10	20350	O	O
11	2500	O	O
12	El	O	O
13	Den	O	O
14	Haag	O	O
15	Adviescollege	O	O
16	Openbaarheid	O	O
17	en	O	O
18	Informatiehuishouding	O	O
19	T.a.v.	O	O
20	mevrouw	(5	O
21	I.	O	B-PER
22	van	O	I-PER
23	Gent	5)	E-PER
24	en	O	O
25	mevrouw	(6	O
26	L.	O	B-PER
27	Bremmer	6)	E-PER
28	Postbus	O	O
29	18601	O	O
30	2595	O	O
31	AN	O	O
32	DEN	(7	O
33	HAAG	7)	O
34	Bezoekadres	O	O
35	:	O	O
36	Parnassusplein	O	O
37	5	O	O
38	2511	O	O
39	VX	O	O
40	Den	O	O
41	Haag	O	O
42	T	O	O
43	70	O	O
44	340	O	O
45	79	O	O
46	11	O	O
47	Secretaris	O	O
48	Generaal	O	O
49	/	O	O
50	plv.	O	O
51	Secretaris	O	O
52	Generaal	O	O
53	Programmadirectie	O	O
54	Openbaarheid	O	O
55	Team	O	O
56	F	O	S-PER
57	Datum	O	O
58	-	O	O
59	1	O	O
60	JUNI	O	O
61	2023	O	O
62	Betreft	O	O
63	reactie	O	O
64	advies	O	O
65	inzake	O	O
66	Woo-verzoek	(8)	O
67	naar	O	O
68	informatie	(9	O
69	over	O	O
70	COVID-19	(10)|(11	O
71	Geachte	O	O
72	mevrouw	O	O
73	Van	O	B-PER
74	Gent	O	E-PER
75	en	O	O
76	Bremmer	11)|9)|(12)	S-PER
77	,	O	O
78	Op	O	O
79	5	(13	O
80	april	O	O
81	2023	13)	O
82	heeft	O	O
83	uw	(14	O
84	adviescollege	14)	O
85	advies	(15)	O
86	uitgebracht	O	O
87	naar	O	O
88	aanleiding	O	O
89	van	O	O
90	een	(16	O
91	klacht	O	O
92	van	O	O
93	een	(17	O
94	journalist	O	O
95	over	O	O
96	de	(18	O
97	afhandeling	O	O
98	van	O	O
99	Woo-verzoeken	(19)	O
100	door	O	O
101	het	(20	O
102	ministerie	O	O
103	van	O	O
104	VWS	20)|18)|17)|16)|(21)	O
105	.	O	O
106	Een	(22	O
107	afschrift	O	O
108	van	O	O
109	dit	(15	O
110	advies	15)|22)	O
111	heeft	O	O
112	u	(23)	O
113	gestuurd	O	O
114	naar	O	O
115	de	(25|(24	O
116	Tweede	O	O
117	Kamer	24)	O
118	,	O	O
119	de	(26	O
120	minister	O	O
121	van	O	O
122	Binnenlandse	(28|(27	O
123	Zaken	27)	O
124	en	O	O
125	Koninkrijksrelaties	28)|26)|(29)	O
126	en	O	O
127	de	(30	O
128	staatssecretaris	O	O
129	voor	O	O
130	Cultuur	(31	O
131	en	O	O
132	Media	31)|30)|25)	O
133	.	O	O
134	In	O	O
135	uw	(32	O
136	advies	O	O
137	van	O	O
138	5	(33	O
139	april	O	O
140	2023	33)|32)	O
141	gaat	O	O
142	u	(34)	O
143	in	O	O
144	op	O	O
145	de	(35	O
146	klacht	O	O
147	van	O	O
148	deze	(36	O
149	journalist	36)|35)	O
150	,	O	O
151	maar	O	O
152	heeft	O	O
153	u	(37)	O
154	ook	O	O
155	meer	(38	O
156	algemene	O	O
157	opmerkingen	O	O
158	over	O	O
159	de	(39	O
160	behandeling	O	O
161	van	O	O
162	corona	(40	O
163	Woo-	O	O
164	verzoeken	40)|39)|38)	O
165	.	O	O
166	In	O	O
167	deze	(41	O
168	brief	41)	O
169	reageer	O	O
170	ik	(42)	O
171	inhoudelijk	O	O
172	op	O	O
173	uw	(44|(43	O
174	advies	43)	O
175	en	O	O
176	aanbevelingen	44)	O
177	.	O	O
178	Een	(45	O
179	afschrift	O	O
180	van	O	O
181	deze	(41	O
182	brief	41)|45)	O
183	zend	O	O
184	ik	(46)	O
185	aan	O	O
186	de	(24	O
