	token	coref	ner
0	>	O	O
1	Retouradres	O	O
2	Postbus	O	O
3	20701	O	O
4	2500	O	O
5	ES	O	O
6	Den	O	O
7	Haag	O	O
8	Veteranenombudsman	O	O
9	Dhr.	O	O
10	mr.	O	O
11	R.F.M.	O	B-PER
12	van	O	I-PER
13	Zutphen	O	E-PER
14	Postbus	O	O
15	93122	O	O
16	2509	O	O
17	AC	O	O
18	Den	O	O
19	Haag	O	O
20	I.a.a	O	O
21	.	O	O
22	Zie	O	O
23	verzendlijst	O	O
24	Datum	O	O
25	:	O	O
26	24	O	O
27	maart	O	O
28	2023	O	O
29	Onderwerp	O	O
30	‘	O	O
31	Noodopvang	O	O
32	veteranen	O	O
33	’	O	O
34	Pagina	O	O
35	1	(0)	O
36	van	O	O
37	3	O	O
38	Bestuursstaf	O	O
39	Plein	O	O
40	4	(1)	O
41	MPC	O	O
42	58	O	O
43	B	O	O
44	Postbus	O	O
45	20701	O	O
46	2500	O	O
47	ES	O	O
48	Den	O	O
49	Haag	O	O
50	www.defensie.nl	O	O
51	Onze	(2)	O
52	referentie	O	O
53	BS2022027879	O	O
54	Bijlage	O	O
55	:	O	O
56	Bij	O	O
57	beantwoording	(4|(3	O
58	datum	3)	O
59	,	O	O
60	onze	(2)|(5	O
61	referentie	5)	O
62	en	O	O
63	onderwerp	4)|(6)	O
64	vermelden	O	O
65	Geachte	(7	O
66	heer	O	O
67	Van	O	B-PER
68	Zutphen	7)	E-PER
69	,	O	O
70	In	O	O
71	mijn	(2)|(8	O
72	brief	O	O
73	(	O	O
74	referentie	(9	O
75	2022012951	9)|(10)	O
76	)	O	O
77	van	O	O
78	23	(11	O
79	mei	O	O
80	2022	11)|8)	O
81	heb	O	O
82	ik	(2)	O
83	een	(12	O
84	inhoudelijke	O	O
85	reactie	12)	O
86	gegeven	O	O
87	op	O	O
88	het	(13	O
89	rapport	O	O
90	‘	O	O
91	Noodopvang	(14	O
92	veteranen	14)	O
93	’	O	O
94	dat	O	O
95	u	(15)	O
96	op	O	O
97	1	(16	O
98	maart	O	O
99	2022	16)	O
100	heeft	O	O
101	aangeboden	13)	O
102	.	O	O
103	Ik	(2)	O
104	ben	O	O
105	hierbij	O	O
106	ook	O	O
107	ingegaan	O	O
108	op	O	O
109	de	(17	O
110	door	O	O
111	u	(15)	O
112	geformuleerde	O	O
113	aanbevelingen	O	O
114	die	O	O
115	gericht	O	O
