	token	coref	ner
0	De	O	O
1	leden	O	O
2	van	O	O
3	de	(0	O
4	gemeenteraad	O	O
5	van	O	O
6	Haarlemmerliede	(1)|(2	O
7	en	O	O
8	Spaarnwoude	2)|0)|(3)	O
9	Postbus	O	O
10	83	O	O
11	1180	O	O
12	AB	O	O
13	Zwanenburg	O	O
14	Bezoekadres	O	O
15	:	O	O
16	Haarlemmerstraatweg	O	O
17	51	O	O
18	Halfweg	O	O
19	Telefoon	O	O
20	20	O	O
21	407	O	O
22	90	O	O
23	0	O	O
24	Telefax	O	O
25	20	O	O
26	407	O	O
27	90	O	O
28	90	O	O
29	Cluster	O	O
30	Contactpersoon	O	O
31	Telefoon	O	O
32	Uw	O	O
33	brief	O	O
34	Ons	O	O
35	kenmerk	O	O
36	Bijlage	O	O
37	(	O	O
38	n	O	O
39	)	O	O
40	Onderwerp	O	O
41	Maatschappelijke	O	O
42	Ondersteuning	O	O
43	en	O	O
44	Zorg	O	O
45	mevrouw	O	O
46	I.	(4	B-PER
47	van	O	I-PER
48	Gijssel	O	E-PER
49	900	O	O
50	1852	(5)|(6	O
51	X2018.59311	6)|4)|(7)	O
52	Zie	O	O
53	onder	O	O
54	Brief	O	O
55	van	O	O
56	gezamenlijke	O	O
57	inspecties	O	O
58	bij	O	O
59	afsluiting	(8	O
60	van	O	O
61	een	O	O
62	regio-overstijgende	O	O
63	casus	O	O
64	Hoofddorp	O	O
65	-	O	O
66	6	O	O
67	FEB	O	O
68	.	O	O
69	2018	(9)	O
70	Geachte	O	O
71	heer	O	O
72	,	O	O
73	mevrouw	8)	O
74	,	O	O
75	Eind	O	O
76	januari	(10	O
77	2017	10)|(11)	O
78	vond	O	O
79	een	(12	O
80	tragische	O	O
81	calamiteit	12)	O
82	plaats	O	O
83	in	O	O
84	een	(13	O
85	buurgemeente	O	O
86	van	O	O
87	Amsterdam	13)|(14)	O
88	.	O	O
89	Het	(15)	O
90	betrof	O	O
91	ernstig	O	O
92	geweld	O	O
93	richting	O	O
94	een	(16	O
95	kind	16)	O
96	door	O	O
97	toedoen	(17	O
98	van	O	O
99	een	(18	O
100	ouder	18)|17)	O
101	,	O	O
102	met	O	O
103	als	O	O
104	uiteindelijk	(19	O
105	gevolg	19)	O
106	het	(20	O
107	overlijden	O	O
108	van	O	O
109	het	(16	O
110	kind	16)|20)	O
111	.	O	O
112	Bij	O	O
113	het	(21	O
114	gezin	21)	O
115	waren	O	O
116	verschillende	(22	O
117	jeugdhulpverleningsorganisaties	22)	O
118	betrokken	O	O
119	.	O	O
120	Het	(16)	O
121	betroffen	O	O
122	organisaties	(23	O
123	die	O	O
124	werkzaam	O	O
125	zijn	O	O
126	binnen	O	O
127	de	(14	O
128	gemeente	O	O
129	Amsterdam	14)	O
130	,	O	O
131	dan	O	O
132	wel	O	O
133	binnen	O	O
134	de	(25|(24	O
135	gemeente	O	O
136	Haarlemmerliede	24)	O
137	en	O	O
138	Spaarnwoude	25)|23)	O
139	.	O	O
140	Zoals	O	O
141	gebruikelijk	O	O
142	in	O	O
143	een	(26	O
144	dergelijke	O	O
145	situatie	O	O
146	(	O	O
147	in	O	O
148	Amsterdam	26)|(14)	O
149	)	O	O
150	is	O	O
151	gehandeld	O	O
152	conform	O	O
153	het	(27	O
154	calamiteiten	O	O
155	protocol	O	O
156	Draaiboek	O	O
157	coördineren	O	O
158	en	O	O
159	leren	(28	O
160	van	O	O
161	calamiteiten	(29	O
162	in	O	O
163	de	(30	O
164	jeugdhulp	30)|29)|28)|27)	O
165	.	O	O
166	De	(31	O
167	betrokken	O	O
168	instellingen	31)	O
169	hebben	O	O
170	de	(12	O
171	calamiteit	12)	O
172	gemeld	O	O
173	bij	O	O
174	hun	(31)|(32	O
175	inspecties	32)	O
176	.	O	O
177	Wmo-toezicht	(33)|(34	O
178	(	O	O
179	GGD	(35	O
180	Amsterdam	35)|34)	O
181	)	O	O
182	was	O	O
183	daar	(36)	O
184	een	O	O
185	van	O	O
186	.	O	O
187	Op	O	O
188	verzoek	O	O
189	van	O	O
190	de	(37	O
191	inspecties	O	O
192	(	O	O
193	Jeugdzorg	(38)|(40|(39	O
194	,	O	O
195	Gezondheidszorg	(41)	O
196	,	O	O
197	Veiligheid	(42)|(43	O
198	en	O	O
199	Justitie	43)|39)|(44)	O
200	en	O	O
201	Wmo	(45	O
202	toezichthouder	45)|40)|37)	O
203	)	O	O
204	is	O	O
205	gewacht	O	O
206	met	O	O
207	het	(46	O
208	organiseren	O	O
209	van	O	O
210	een	(48|(47	O
211	leersessie	47)	O
212	tot	O	O
213	na	O	O
214	afronding	(49	O
215	van	O	O
216	het	(50	O
217	verzamelen	O	O
218	van	O	O
219	de	(51	O
220	feiten	51)	O
221	ten	O	O
222	behoeve	O	O
223	van	O	O
224	het	(52	O
225	vooronderzoek	52)|50)|49)|48)|46)	O
226	Dat	(53)	O
227	bleek	O	O
228	met	O	O
229	meerdere	(54	O
230	betrokken	O	O
231	inspecties	54)	O
232	vrij	O	O
233	lang	O	O
234	te	O	O
235	duren	O	O
236	.	O	O
237	Op	O	O
238	19	(55	O
239	juni	O	O
240	2017	55)	O
241	is	O	O
242	-	O	O
243	mede	O	O
244	op	O	O
245	initiatief	O	O
246	van	O	O
247	de	(14	O
248	gemeente	O	O
249	Amsterdam	14)	O
250	-	O	O
251	een	(56	O
252	tweetal	O	O
253	leersessies	56)|(57)	O
254	georganiseerd	O	O
255	door	O	O
256	de	(59|(58	O
257	inspecties	58)	O
258	,	O	O
259	zowel	(60	O
260	op	O	O
261	het	(61	O
262	niveau	O	O
263	van	O	O
264	de	(62	O
265	uitvoerders	62)	O
266	als	O	O
267	(	O	O
268	separaat	(63	O
269	)	O	O
270	de	(64	O
271	politiek-	O	O
272	en	O	O
273	instellingsbestuurders	O	O
274	uit	O	O
275	de	(65	O
276	beide	O	O
277	gemeentes	65)|64)|63)|61)|60)|59)	O
278	.	O	O
279	De	(58	O
280	inspecties	58)	O
281	achtten	O	O
282	op	O	O
283	grond	O	O
284	van	O	O
285	het	(66	O
286	feitenrelaas	O	O
287	van	O	O
288	de	(68|(67	O
289	instellingen	67)	O
290	en	O	O
291	organisaties	68)|66)	O
292	verder	(69	O
293	onderzoek	69)	O
294	niet	O	O
295	noodzakelijk	O	O
296	.	O	O
297	Ons	(70)|(71	O
298	kenmerk	O	O
299	X2018.59311	O	O
300	Volgvel	O	O
301	2	O	O
302	De	(58	O
303	inspecties	58)|71)	O
304	vroegen	O	O
305	de	(68|(67	O
306	gemeenten	67)	O
307	en	O	O
308	de	(67	O
309	instellingen	67)|68)	O
310	gezamenlijk	O	O
311	verbeterpunten	(72)	O
312	op	O	O
313	te	O	O
314	stellen	O	O
315	op	O	O
316	vijf	(73	O
317	thema's	O	O
318	(	O	O
319	citaat	73)|(74)	O
320	)	O	O
321	:	O	O
322	1.	O	O
323	Regievoering	(75)	O
324	:	O	O
325	Er	O	O
326	is	O	O
327	in	O	O
328	de	(76	O
329	gehele	O	O
330	periode	76)	O
331	een	(77	O
332	regievoerder	77)	O
333	geweest	O	O
334	,	O	O
335	toch	O	O
336	lijkt	O	O
337	er	O	O
338	geen	(78	O
339	regie	78)	O
340	gevoerd	O	O
341	te	O	O
342	zijn	O	O
343	.	O	O
344	Er	O	O
345	was	O	O
346	niet	O	O
347	één	O	O
348	partij	O	O
349	die	O	O
350	het	(79	O
351	totaaloverzicht	79)	O
352	had	O	O
353	.	O	O
354	2.	O	O
355	Zorgmijding	(80)	O
356	:	O	O
357	Professionals	(81)	O
358	hebben	O	O
359	het	(82	O
360	mijden	O	O
361	van	O	O
362	zorg	(83)|(84	O
363	door	O	O
364	ouders	84)|82)|(85)	O
365	niet	O	O
366	geduid	O	O
367	als	O	O
368	risicofactor	(86	O
369	voor	O	O
370	de	(87	O
371	veiligheid	O	O
372	van	O	O
373	het	(88	O
374	kind	88)|87)|86)	O
375	.	O	O
376	3.	O	O
377	Risicotaxatie	O	O
378	:	O	O
379	Risico's	(89	O
380	voor	O	O
381	de	(90	O
382	veiligheid	O	O
383	van	O	O
384	het	(88	O
385	kind	88)|90)|89)	O
386	zijn	O	O
387	niet	O	O
388	ingeschat	O	O
389	.	O	O
390	4.	(91	O
391	Oudersignaal	O	O
392	=	O	O
393	risico	O	O
394	kind	91)	O
395	:	O	O
396	Ouderproblematiek	(92)	O
397	is	O	O
398	door	O	O
399	de	(81	O
400	professionals	81)	O
401	niet	O	O
402	gezien	O	O
403	als	O	O
404	kindproblematiek	(93)	O
405	.	O	O
406	5.	O	O
407	Overdracht	(94)	O
408	:	O	O
409	Er	O	O
410	is	O	O
411	in	O	O
412	de	(76	O
413	gehele	O	O
414	periode	76)	O
415	een	(95	O
416	aantal	O	O
417	momenten	(96	O
418	geweest	O	O
419	waar	O	O
420	er	O	O
421	sprake	(97)	O
422	was	O	O
423	van	O	O
424	knelpunten	(98	O
425	in	O	O
426	de	(99	O
427	overdracht	99)|98)|96)|95)	O
428	.	O	O
429	Dit	(100)	O
430	heeft	O	O
431	geleid	O	O
432	tot	O	O
433	een	(101	O
434	aantal	O	O
435	verbeterpunten	O	O
436	dat	O	O
437	met	O	O
438	input	(102	O
439	van	O	O
440	alle	(104|(103	O
441	betrokken	O	O
442	partijen	103)	O
443	en	O	O
