	token	coref	ner
0	Tweede	O	O
1	Kamer	O	O
2	der	O	O
3	Staten-Generaal	O	O
4	2	O	O
5	Vergaderjaar	O	O
6	2021–2022	O	O
7	Aanhangsel	O	O
8	van	O	O
9	de	(0	O
10	Handelingen	0)	O
11	Vragen	O	O
12	gesteld	O	O
13	door	O	O
14	de	(2|(1	O
15	leden	O	O
16	der	(3	O
17	Kamer	3)|1)	O
18	,	O	O
19	met	O	O
20	de	(4	O
21	daarop	O	O
22	door	O	O
23	de	(5	O
24	regering	5)	O
25	gegeven	O	O
26	antwoorden	4)|2)	O
27	2930	O	O
28	Vragen	O	O
29	van	O	O
30	de	(7|(6	O
31	leden	O	O
32	Azarkan	(8	S-PER
33	(	O	O
34	DENK	8)|6)|(9)	O
35	)	O	O
36	en	O	O
37	Sylvana	(10	B-PER
38	Simons	O	E-PER
39	(	O	O
40	BIJ1	10)|7)|(11)	O
41	)	O	O
42	aan	O	O
43	de	(12	O
44	Minister	O	O
45	van	O	O
46	Justitie	(13)|(14	O
47	en	O	O
48	Veiligheid	14)|12)|(15)	O
49	over	O	O
50	de	(16	O
51	discriminerende	O	O
52	rapportages	O	O
53	van	O	O
54	de	(17	O
55	NCTV	17)	O
56	(	O	O
57	ingezonden	O	O
58	4	(18	O
59	mei	O	O
60	2022	18)|16)	O
61	)	O	O
62	.	O	O
63	Antwoord	(19	O
64	van	O	O
65	Minister	(21|(20	O
66	Yes¸ilgöz-Zegerius	O	S-PER
67	(	O	O
68	Justitie	(22)|(23	O
69	en	O	O
70	Veiligheid	23)|20)|(24)	O
71	)	O	O
72	(	O	O
73	ontvangen	O	O
74	31	(25	O
75	mei	O	O
76	2022	25)|21)|19)	O
77	)	O	O
78	.	O	O
79	Zie	O	O
80	ook	O	O
81	Aanhangsel	(27|(26	O
82	Handelingen	26)	O
83	,	O	O
84	vergaderjaar	(28	O
85	2021–2022	28)|(29)	O
86	,	O	O
87	nr.	(30	O
88	2855	30)|27)|(31)	O
89	.	O	O
90	Vraag	(32	O
91	1	(33)	O
92	,	O	O
93	2	(34)	O
94	en	O	O
95	3	32)|(35)	O
96	Bent	O	O
97	u	(36)	O
98	op	O	O
99	de	O	O
100	hoogte	O	O
101	van	O	O
102	de	(37	O
103	discriminerende	O	O
104	rapportages	O	O
105	van	O	O
106	de	(38|(39	O
107	Nationaal	O	O
108	Coordinator	O	O
109	Terrorismebestrijding	O	O
110	en	O	O
111	Veiligheid	39)	O
112	(	O	O
113	NCTV	38)|(39)	O
114	)	O	O
115	,	O	O
116	waarin	O	O
117	bepaalde	(40	O
118	politieke	O	O
119	partijen	O	O
120	zoals	O	O
121	DENK	(41)|(42	O
122	en	O	O
123	BIJ1	42)|40)|(43)	O
124	worden	O	O
125	onderzocht	37)	O
126	?	O	O
127	1	(44)	O
128	Deelt	O	O
129	u	(36)	O
130	de	(45	O
131	mening	O	O
132	dat	O	O
133	het	(46)	O
134	niet	O	O
135	de	(47	O
136	taak	O	O
137	is	O	O
138	van	O	O
139	het	(39	O
140	NCTV	39)|47)	O
141	allerlei	(48	O
142	stigmatise-	O	O
143	rende	O	O
144	(	O	O
145	voor	O	O
146	)oordelen	48)|(49)	O
147	te	O	O
148	plakken	O	O
149	op	O	O
150	bepaalde	(50	O
151	politieke	O	O
152	stromingen	O	O
153	en	O	O
154	partijen	O	O
155	in	O	O
156	Nederland	50)|45)|(51)	O
157	?	O	O
158	Deelt	O	O
159	u	(36)	O
160	de	(52	O
161	mening	52)	O
162	dat	O	O
163	dit	(53)	O
164	niet	O	O
165	tot	O	O
166	het	(54	O
167	takenpakket	O	O
168	van	O	O
169	de	(17	O
170	NCTV	17)|54)	O
171	hoort	O	O
172	?	O	O
173	Zo	O	O
174	nee	O	O
175	,	O	O
176	waarom	O	O
177	niet	O	O
178	?	O	O
179	Antwoord	O	O
180	1	(55)	O
181	,	O	O
182	2	(56)	O
183	en	O	O
184	3	(57)	O
185	Ja	O	O
186	Vraag	O	O
187	4	(58)	O
188	Hoe	O	O
189	is	O	O
190	de	(17	O
191	NCTV	17)	O
192	hiertoe	O	O
193	gekomen	O	O
194	?	O	O
195	Wie	(59)	O
196	heeft	O	O
197	de	(17	O
198	NCTV	17)	O
199	hiertoe	O	O
200	opdracht	(60)	O
201	gegeven	O	O
202	?	O	O
203	Antwoord	O	O
204	4	(61)	O
205	Het	(62	O
206	delen	O	O
207	van	O	O
208	kennis	(63	O
209	en	O	O
210	expertise	(64	O
211	over	O	O
212	fenomenen	(66|(65	O
213	(	O	O
214	zoals	O	O
215	extreemrechts	(67)|(68	O
216	of	O	O
217	accelerationisme	68)|65)|(69)	O
218	)	O	O
219	en	O	O
220	maatschappelijke	(70	O
221	ontwikkelingen	O	O
222	die	O	O
223	relevant	O	O
224	zijn	O	O
225	voor	O	O
226	de	(71	O
227	nationale	O	O
228	veiligheid	71)|70)|66)|64)|63)|62)	O
229	is	O	O
230	een	O	O
231	belangrijke	O	O
232	taak	O	O
233	voor	O	O
234	de	(17	O
235	NCTV	17)	O
236	.	O	O
237	Om	O	O
238	zijn	(17)|(72	O
239	werk	72)	O
240	goed	O	O
241	te	O	O
242	kunnen	O	O
243	doen	O	O
244	,	O	O
245	is	O	O
246	het	(73)	O
247	daarom	O	O
248	belangrijk	O	O
249	dat	O	O
250	de	(17	O
251	NCTV	17)	O
252	vroegtijdig	(74	O
253	zicht	O	O
254	heeft	O	O
255	op	O	O
256	wat	O	O
257	er	O	O
258	leeft	O	O
259	,	O	O
260	of	O	O
261	soms	O	O
262	broeit	O	O
263	,	O	O
264	in	O	O
265	de	(75	O
266	samenleving	75)|74)	O
267	.	O	O
268	Om	O	O
269	dergelijke	(76	O
270	ontwikkelingen	O	O
271	op	O	O
272	het	(77	O
273	gebied	O	O
274	van	O	O
275	nationale	(78	O
276	veiligheid	78)|77)|76)	O
277	te	O	O
278	kunnen	O	O
279	signaleren	O	O
280	,	O	O
281	duiden	O	O
282	en	O	O
283	tot	O	O
284	een	(79	O
285	geïntegreerd	O	O
286	beeld	79)	O
287	te	O	O
288	komen	O	O
289	,	O	O
290	is	O	O
291	bij	O	O
292	de	(80	O
293	oprichting	O	O
294	van	O	O
295	de	(17|(17	O
296	NCTV	17)	O
297	(	O	O
298	2005-2011	(81)	O
299	genaamd	O	O
300	NCTb	17)|80)	O
301	)	O	O
302	voorzien	O	O
303	in	O	O
304	een	(82	O
305	verantwoordelijkheid	O	O
306	hiertoe	82)	O
307	.	O	O
308	De	(17	O
309	NCTV	17)	O
310	kreeg	O	O
311	naast	O	O
312	een	(83	O
313	functie	O	O
314	voor	O	O
315	het	(84	O
316	coördineren	O	O
317	op	O	O
318	het	(85	O
319	gebied	85)	O
320	1	O	O
321	https://www.nrc.nl/nieuws/2022/05/02/nctv-waarschuwde-jaren-voor-polariserende-politieke-	(86)	O
322	partijen-a4119961	O	O
323	ah-tk-20212022-2930	O	O
324	ISSN	O	O
325	921	O	O
326	-	O	O
327	7398	O	O
328	’	O	O
329	s-Gravenhage	O	O
330	2022	O	O
331	Tweede	O	O
332	Kamer	O	O
333	,	O	O
334	vergaderjaar	(87	O
335	2021–2022	87)|(88)	O
336	,	O	O
337	Aanhangsel	(89	O
338	1	(90)	O
339	van	O	O
340	nationale	(91	O
341	veiligheid	91)|89)|84)|83)	O
342	,	O	O
343	ook	O	O
344	de	(92	O
345	verantwoordelijkheid	O	O
346	om	O	O
347	te	O	O
348	komen	O	O
349	tot	O	O
350	integrale	(93	O
351	analyses	O	O
352	die	O	O
353	relevant	O	O
354	zijn	O	O
355	voor	O	O
356	de	(94	O
357	nationale	O	O
358	veiligheid	94)|93)|92)	O
359	.	O	O
360	Dit	(95)	O
361	is	O	O
362	opgenomen	O	O
363	in	O	O
364	het	(96	O
365	Organisatiebesluit	O	O
366	van	O	O
367	het	(97	O
368	Ministerie	O	O
369	van	O	O
370	Justitie	O	O
371	en	O	O
372	Veiligheid	97)|96)	O
373	.	O	O
374	Om	O	O
375	samenwerkingspartners	(98)	O
376	bewust	O	O
377	te	O	O
378	maken	O	O
379	van	O	O
380	(	O	O
381	mogelijk	(100|(99	O
382	)	O	O
383	zorgwekkende	O	O
384	ontwikkelingen	99)	O
385	en	O	O
386	actuele	(101	O
387	gebeurtenissen	O	O
388	in	O	O
389	de	(75	O
390	samenleving	75)|101)|100)	O
391	,	O	O
392	maakte	O	O
393	de	(17	O
394	NCTV	17)	O
395	tot	O	O
396	maart	(102	O
397	2021	102)|(103)	O
398	Weekberichten	(104	O
399	Internetmonitoring	104)	O
400	.	O	O
401	De	(106|(105	O
402	ontvangers	105)	O
403	,	O	O
404	bijvoorbeeld	(107	O
405	beleidsmedewerkers	O	O
406	van	O	O
407	gemeenten	107)|106)|(108)	O
408	,	O	O
409	konden	O	O
410	die	(104	O
411	Weekberichten	104)	O
412	gebruiken	O	O
413	om	O	O
414	inzichten	(109	O
415	op	O	O
416	te	O	O
417	doen	O	O
418	rond	O	O
419	thema’s	(110	O
420	die	O	O
421	relevant	O	O
422	waren	O	O
423	voor	O	O
424	de	(94	O
425	nationale	O	O
426	veiligheid	94)|110)|109)	O
427	.	O	O
428	De	(17	O
429	NCTV	17)	O
430	stelde	O	O
431	deze	(104	O
432	Weekberichten	104)	O
433	niet	O	O
434	op	O	O
435	in	O	O
436	politieke	(111	O
437	opdracht	O	O
438	van	O	O
439	het	(113|(112	O
440	Kabinet	112)	O
441	of	O	O
442	de	(114	O
443	Minister	O	O
444	van	O	O
445	Justitie	O	O
446	en	O	O
447	Veiligheid	114)|113)|111)	O
448	.	O	O
449	Voor	O	O
450	het	(115	O
451	opstellen	O	O
452	van	O	O
453	Weekberichten	115)|(116)	O
454	werd	O	O
455	gebruik	(117)	O
456	gemaakt	O	O
457	van	O	O
458	open	(118	O
459	bronnen	O	O
460	die	O	O
461	voor	O	O
462	een	(119	O
463	ieder	119)	O
464	toegankelijk	O	O
465	zijn	O	O
466	als	O	O
467	krantenberichten	(120)|(121	O
468	,	O	O
469	weten-	(122	O
470	schappelijke	O	O
471	verhandelingen	122)	O
472	en	O	O
473	open	(123	O
474	online	O	O
475	bronnen	O	O
476	,	O	O
477	zoals	O	O
478	Twitterberichten	123)|121)|118)|(124)	O
479	.	O	O
480	Hierbij	O	O
481	kwamen	O	O
482	ook	O	O
483	openbare	(125	O
484	uitingen	O	O
485	van	O	O
486	relevante	(126	O
487	personen	O	O
488	die	O	O
489	veel	(127	O
490	aandacht	127)	O
491	kregen	O	O
492	en	O	O
493	tot	O	O
494	discussies	(128)	O
495	leiden	126)|125)	O
496	,	O	O
497	in	O	O
498	beeld	O	O
499	.	O	O
500	Zo	O	O
501	is	O	O
502	ook	O	O
503	een	(129	O
504	aantal	O	O
505	Kamerleden	129)|(130)	O
506	genoemd	O	O
507	in	O	O
508	die	(131	O
509	Weekbericht	131)	O
510	en	O	O
511	.	O	O
512	In	O	O
513	een	(132	O
514	aantal	O	O
515	Weekberichten	132)|(133)	O
516	klonken	O	O
517	normatieve	(134	O
518	stellingnames	O	O
519	door	O	O
520	over	O	O
521	Kamerleden	134)|(135)	O
522	.	O	O
523	Dat	(136)	O
524	had	O	O
525	niet	O	O
526	gemoeten	O	O
527	.	O	O
528	Analyses	(137)|(138	O
529	en	O	O
530	duidingen	138)|(139)	O
531	moeten	O	O
532	feitelijk	O	O
533	van	O	O
534	aard	O	O
535	zijn	O	O
536	en	O	O
537	gericht	O	O
538	zijn	O	O
539	op	O	O
540	relevante	(140	O
541	ontwikkelingen	O	O
542	voor	O	O
543	de	(94	O
544	nationale	O	O
545	veiligheid	94)|140)	O
546	.	O	O
547	Hierin	O	O
548	is	O	O
549	geen	(141	O
550	ruimte	O	O
551	voor	O	O
552	persoonlijke	(142	O
553	meningen	142)|141)	O
554	,	O	O
555	zeker	O	O
556	niet	O	O
557	over	O	O
558	politici	(143)	O
559	.	O	O
560	Vraag	(144	O
561	5	(145)	O
562	en	O	O
563	6	144)|(146)	O
564	Klopt	O	O
565	het	(147)	O
566	dat	O	O
567	uw	(148	O
568	voorganger	148)	O
569	aan	O	O
570	de	(3	O
571	Kamer	3)	O
572	heeft	O	O
573	gemeld	O	O
574	dat	O	O
575	politieke	(149	O
576	partijen	149)	O
577	alleen	O	O
578	worden	O	O
579	gemonitord	O	O
580	met	O	O
581	het	O	O
582	oog	O	O
583	op	O	O
584	hun	(149)|(150	O
585	eigen	O	O
586	veiligheid	150)	O
587	?	O	O
588	Klopt	O	O
589	het	(151)	O
590	dus	O	O
591	dat	O	O
592	de	(3	O
593	Kamer	3)	O
594	verkeerd	O	O
595	is	O	O
596	geïnformeerd	O	O
597	?	O	O
598	Kunt	O	O
599	u	(152)	O
600	dit	(153)	O
601	uitleggen	O	O
602	en	O	O
603	welke	(154	O
604	conclusies	154)	O
605	verbindt	O	O
606	u	(155)	O
607	hieraan	O	O
608	?	O	O
609	Antwoord	O	O
610	5	(156)	O
611	en	O	O
612	6	(157)	O
613	De	(17	O
614	NCTV	17)	O
615	heeft	O	O
616	geen	(158	O
617	bevoegdheid	O	O
618	om	O	O
619	politieke	(149	O
620	partijen	149)	O
621	te	O	O
622	monitoren	158)	O
623	.	O	O
624	De	(17	O
625	NCTV	17)	O
626	monitort	O	O
627	dan	O	O
628	ook	O	O
629	geen	(160|(159	O
630	politici	159)	O
631	en/of	O	O
632	politieke	O	O
633	partijen	160)	O
634	in	O	O
635	het	O	O
636	kader	O	O
637	van	O	O
638	zijn	(161)|(162	O
639	analysetaak	162)	O
640	.	O	O
641	Naar	O	O
642	personen	(163	O
643	in	O	O
644	het	(164	O
645	Rijksdomein	164)	O
646	,	O	O
647	waaronder	(165	O
648	politici	165)|163)	O
649	,	O	O
650	kan	O	O
651	alleen	O	O
652	gekeken	O	O
653	worden	O	O
654	in	O	O
655	het	O	O
656	kader	O	O
657	van	O	O
658	het	(167|(166	O
659	stelsel	O	O
660	Bewaken	O	O
661	en	O	O
662	Beveiligen	166)	O
663	,	O	O
664	waarbij	O	O
665	er	O	O
666	specifiek	O	O
667	gekeken	O	O
668	wordt	O	O
669	naar	O	O
670	de	(168	O
671	concrete	O	O
672	en	O	O
673	voorstelbare	O	O
674	dreiging	O	O
675	jegens	O	O
676	deze	(169	O
677	politici	169)|168)|167)	O
678	.	O	O
679	Deze	(170	O
680	taak	O	O
681	van	O	O
682	de	(17	O
683	NCTV	17)|170)	O
684	is	O	O
685	specifiek	O	O
686	verankert	O	O
687	in	O	O
688	de	(171	O
689	Politiewet	171)	O
690	en	O	O
691	wordt	O	O
692	uitgevoerd	O	O
693	door	O	O
694	een	(172	O
695	specifiek	O	O
696	hiertoe	O	O
697	uitgeruste	O	O
698	afdeling	O	O
699	binnen	O	O
700	de	(17	O
701	NCTV	17)|172)	O
702	.	O	O
703	Daarnaast	O	O
704	kijkt	O	O
705	de	(174|(173	O
706	analysetak	O	O
707	van	O	O
708	de	(17	O
709	NCTV	17)|173)	O
710	,	O	O
711	los	O	O
712	van	O	O
713	de	(175	O
714	afdeling	O	O
715	die	O	O
716	zich	(176)	O
717	bezighoudt	O	O
718	met	O	O
719	Bewaken	(177)|(166	O
720	en	O	O
721	Beveiligen	166)|175)|174)|(178)	O
722	,	O	O
723	naar	O	O
724	trends	(179	O
725	en	O	O
726	fenomenen	(180	O
727	op	O	O
728	het	O	O
729	gebied	O	O
730	van	O	O
731	de	(181	O
732	nationale	O	O
733	veiligheid	181)|180)|179)	O
734	.	O	O
735	In	O	O
736	het	(182	O
737	discours	O	O
738	dat	O	O
739	van	O	O
740	invloed	O	O
741	is	O	O
742	op	O	O
743	die	(183	O
744	nationale	O	O
745	veiligheid	183)|182)	O
746	,	O	O
747	kunnen	O	O
748	ook	O	O
749	politici	(184	O
750	voorkomen	O	O
751	die	O	O
752	over	O	O
753	een	(185	O
754	onderwerp	185)	O
755	iets	(186)	O
756	zeggen	O	O
757	in	O	O
758	de	(187	O
759	media	187)	O
760	of	O	O
761	op	O	O
762	sociale	(188	O
