	token	coref	ner
0	Datum	O	O
1	Onze	(0)|(1	O
2	referentie	1)	O
3	Uw	(2	O
4	referentie	2)	O
5	Uw	O	O
6	brief	O	O
7	van	O	O
8	Brandweer	O	O
9	Zaanstreek-Waterland	O	O
10	BRANDWEER	O	O
11	GD	O	B-PER
12	KOPIE	O	O
13	Prins	O	O
14	Bernhardplein	O	O
15	112	O	O
16	1508	O	O
17	XB	O	O
18	Zaandam	O	O
19	Postbus	O	O
20	150	O	O
21	1500	O	O
22	ED	O	O
23	Zaandam	O	O
24	Telefoon	O	O
25	075-681	O	O
26	18	O	O
27	11	O	O
28	Fax	O	O
29	075-617	O	O
30	41	O	O
31	41	O	O
32	risicobeheersing@vrzw.nl	O	O
33	Gemeente	O	O
34	Purmerend	O	O
35	Afdeling	O	O
36	Vergunningen	O	O
37	,	O	O
38	Toezicht	O	O
39	en	O	O
40	Handhaving	O	O
41	T.a.v.	O	O
42	mevrouw	O	O
43	J.H.H.	O	B-PER
44	de	O	I-PER
45	Bruijn	O	E-PER
46	Postbus	O	O
47	15	O	O
48	1440	O	O
49	AA	O	O
50	PURMEREND	O	O
51	www.	O	O
52	vrzw.nl	O	O
53	18	O	O
54	april	O	O
55	2011	O	O
56	Telefoon	O	O
57	(	O	O
58	75	O	O
59	)	O	O
60	681	O	O
61	18	O	O
62	11	O	O
63	2011/21/RO/4594/2	O	O
64	Fax	O	O
65	(	O	O
66	75	O	O
67	)	O	O
68	617	O	O
69	41	O	O
70	41	O	O
71	612353	O	O
72	E-mail	O	O
73	risicobeheersing@vrzw.nl	(3	O
74	23	(4	O
75	maart	O	O
76	2011	4)|3)	O
77	Onderwerp	O	O
78	Advies	O	O
79	externe	O	O
80	veiligheid	O	O
81	bestemmingplan	O	O
82	Wheermolen	O	O
83	2010	O	O
84	te	O	O
85	Purmerend	(5)	O
86	Geachte	O	O
87	mevrouw	O	O
88	De	O	B-PER
89	Bruijn	O	E-PER
90	,	O	O
91	Op	O	O
92	23	(6	O
93	maart	O	O
94	2011	6)	O
95	heeft	O	O
96	u	(7)	O
97	VrZW	(8)	O
98	verzocht	O	O
99	te	O	O
100	adviseren	O	O
101	op	O	O
