	token	gold	model
0	De	['']	[]
1	leden	['']	[]
2	van	['']	[]
3	de	['']	[]
4	gemeenteraad	['']	[]
5	van	['']	[]
6	Haarlemmerliede	['']	[]
7	en	['']	[]
8	Spaarnwoude	['']	[]
9	Postbus	['']	[]
10	83	['']	[]
11	1180	['']	[]
12	AB	['']	[]
13	Zwanenburg	['']	[]
14	Bezoekadres	['']	[]
15	:	['']	[]
16	Haarlemmerstraatweg	['']	[]
17	51	['']	[]
18	Halfweg	['']	[]
19	Telefoon	['']	[]
20	20	['']	[]
21	407	['']	[]
22	90	['']	[]
23	0	['']	[]
24	Telefax	['']	[]
25	20	['']	[]
26	407	['']	[]
27	90	['']	[]
28	90	['']	[]
29	Cluster	['']	[]
30	Contactpersoon	['']	[]
31	Telefoon	['']	[]
32	Uw	['']	[]
33	brief	['']	[]
34	Ons	['']	[]
35	kenmerk	['']	[]
36	Bijlage	['']	[]
37	(	['']	[]
38	n	['']	[]
39	)	['']	[]
40	Onderwerp	['']	[]
41	Maatschappelijke	['']	[]
42	Ondersteuning	['']	[]
43	en	['']	[]
44	Zorg	['']	[]
45	mevrouw	['']	['B_PER_1']
46	I.	['B_PER_1']	['I_PER_1']
47	van	['I_PER_1']	['I_PER_1']
48	Gijssel	['I_PER_1']	['I_PER_1']
49	900	['']	['I_PER_1']
50	1852	['']	['I_PER_1']
51	X2018.59311	['']	[]
52	Zie	['']	[]
53	onder	['']	[]
54	Brief	['']	[]
55	van	['']	[]
56	gezamenlijke	['']	[]
57	inspecties	['']	[]
58	bij	['']	[]
59	afsluiting	['']	[]
60	van	['']	[]
61	een	['']	[]
62	regio-overstijgende	['']	[]
63	casus	['']	[]
64	Hoofddorp	['']	[]
65	-	['']	[]
66	6	['']	[]
67	FEB	['']	[]
68	.	['']	[]
69	2018	['']	[]
70	Geachte	['']	[]
71	heer	['']	[]
72	,	['']	[]
73	mevrouw	['']	[]
74	,	['']	[]
75	Eind	['']	[]
76	januari	['']	[]
77	2017	['']	[]
78	vond	['']	[]
79	een	['']	[]
80	tragische	['']	[]
81	calamiteit	['']	[]
82	plaats	['']	[]
83	in	['']	[]
84	een	['']	[]
85	buurgemeente	['']	[]
86	van	['']	[]
87	Amsterdam	['']	[]
88	.	['']	[]
89	Het	['']	[]
90	betrof	['']	[]
91	ernstig	['']	[]
