	token	gold	model
0	Huizen	['']	[]
1	Gemeente	['']	[]
2	Per	['']	[]
3	gewone	['']	[]
4	post	['']	[]
5	en	['']	[]
6	aangetekend	['']	[]
7	versturen	['']	[]
8	Onderwerp	['']	[]
9	:	['']	[]
10	Besluit	['']	[]
11	afwijzing	['']	[]
12	handhavingsverzoek	['']	[]
13	Huizen	['']	[]
14	:	['']	[]
15	2	['']	[]
16	september	['']	[]
17	2021	['']	[]
18	Uw	['B_PER_1']	[]
19	brief	['']	[]
20	van	['']	[]
21	:	['']	[]
22	30	['']	[]
23	augustus	['']	[]
24	2021	['']	[]
25	Nummer	['']	[]
26	:	['']	[]
27	Z.	['']	[]
28	189555	['']	[]
29	Uw	['B_PER_1']	[]
30	kenmerk	['']	[]
31	:	['']	[]
32	Bijlage	['']	[]
33	:	['']	[]
34	3	['']	[]
35	Bij	['']	[]
36	beantwoording	['']	[]
37	van	['']	[]
38	deze	['']	[]
39	brief	['']	[]
40	,	['']	[]
41	graag	['']	[]
42	datum	['']	[]
43	,	['']	[]
44	nummer	['']	[]
45	en	['']	[]
46	onderwerp	['']	[]
47	vermelden	['']	[]
48	.	['']	[]
49	Geachte	['']	[]
50	mevrouw	['B_PER_1']	['B_PER_1']
51	Westland	['I_PER_1']	['I_PER_1']
52	.	['']	[]
53	Inleiding	['']	[]
54	Er	['']	[]
55	is	['']	[]
56	op	['']	[]
57	1	['']	[]
58	september	['']	[]
59	2021	['']	[]
60	ter	['']	[]
61	plaatse	['']	[]
62	gecontroleerd	['']	[]
63	of	['']	[]
64	er	['']	[]
65	sprake	['']	[]
66	was	['']	[]
67	van	['']	[]
68	bouwactiviteiten	['']	[]
69	zonder	['']	[]
70	daartoe	['']	[]
71	verleende	['']	[]
72	omgevingsvergunning	['']	[]
73	en/of	['']	[]
74	in	['']	[]
75	strijd	['']	[]
76	met	['']	[]
77	wettelijke	['']	[]
78	voorschriften	['']	[]
79	.	['']	[]
80	Op	['']	[]
81	30	['']	[]
82	augustus	['']	[]
83	2021	['']	[]
84	ontvingen	['']	[]
85	wij	['B_PER_2']	['B_PER_2']
86	uw	['B_PER_1']	[]
87	verzoek	['']	[]
88	om	['']	[]
89	handhaving	['']	[]
90	vanwege	['']	[]
91	bouwactiviteiten	['']	[]
92	op	['']	[]
93	naburig	['']	[]
94	perceel	['']	[]
95	Ceintuurbaan	['']	[]
96	2B	['']	[]
97	in	['']	[]
98	Huizen	['']	[]
99	(	['']	[]
100	Bijlage	['']	[]
101	)	['']	[]
102	.	['']	[]
103	In	['']	[]
104	deze	['']	[]
105	brief	['']	[]
106	gaan	['']	[]
107	wij	['B_PER_2']	['B_PER_3']
108	in	['']	[]
109	op	['']	[]
110	uw	['B_PER_1']	[]
111	verzoek	['']	[]
112	.	['']	[]
113	Resultaten	['']	[]
114	controle	['']	[]
115	Gebleken	['']	[]
116	is	['']	[]
117	dat	['']	[]
118	er	['']	[]
119	wordt	['']	[]
120	gebouwd	['']	[]
121	in	['']	[]
122	overeenstemming	['']	[]
123	met	['']	[]
124	de	['']	[]
125	op	['']	[]
126	20	['']	[]
127	augustus	['']	[]
128	2021	['']	[]
129	verleende	['']	[]
130	omgevingsvergunning	['']	[]
131	voor	['']	[]
132	het	['']	[]
133	verbouwen/renoveren	['']	[]
134	van	['']	[]
135	bedrijfspand	['']	[]
136	naar	['']	[]
137	woning	['']	[]
138	(	['']	[]
139	fase	['']	[]
140	2	['']	[]
141	)	['']	[]
142	(	['']	[]
143	Bijlage	['']	[]
144	)	['']	[]
145	.	['']	[]
146	Daarnaast	['']	[]
147	bent	['']	[]
148	u	['B_PER_1']	['B_PER_4']
149	daarna	['']	[]
150	,	['']	[]
151	net	['']	[]
152	als	['']	[]
153	andere	['']	[]
154	omwonenden	['']	[]
155	van	['']	[]
156	het	['']	[]
157	perceel	['']	[]
158	Ceintuurbaan	['']	[]
159	2b	['']	[]
160	,	['']	[]
161	door	['']	[]
162	de	['']	[]
163	heer	['']	['B_PER_5']
164	Koop	['']	['I_PER_5']
165	(	['']	[]
166	vergunninghouder	['']	[]
167	)	['']	[]
168	middels	['']	[]
169	een	['']	[]
170	‘	['']	[]
171	buurtbrief	['']	[]
172	’	['']	[]
173	(	['']	[]
174	d.d.	['']	[]
175	25	['']	[]
176	augustus	['']	[]
177	jl	['']	[]
178	.	['']	[]
179	)	['']	[]
180	op	['']	[]
181	de	['']	[]
182	hoogte	['']	[]
183	gebracht	['']	[]
184	van	['']	[]
185	het	['']	[]
186	feit	['']	[]
187	dat	['']	[]
188	voornoemde	['']	[]
189	omgevingsvergunning	['']	[]
190	is	['']	[]
191	verleend	['']	[]
192	en	['']	[]
193	welke	['']	[]
194	werkzaamheden	['']	[]
195	daarmee	['']	[]
196	zijn	['']	[]
197	toegestaan	['']	[]
198	en	['']	[]
199	welke	['']	[]
200	(	['']	[]
201	nog	['']	[]
202	)	['']	[]
203	niet	['']	[]
204	(	['']	[]
205	Bijlage	['']	[]
206	)	['']	[]
207	.	['']	[]
208	Ook	['']	[]
209	wijzen	['']	[]
210	wij	['B_PER_2']	['B_PER_6']
211	op	['']	[]
212	de	['']	[]
213	publicatie	['']	[]
214	van	['']	[]
215	de	['']	[]
216	verleende	['']	[]
217	vergunning	['']	[]
218	op	['']	[]
219	donderdag	['']	[]
220	2	['']	[]
221	september	['']	[]
222	2021	['']	[]
223	(	['']	[]
224	Omroeper	['']	[]
225	)	['']	[]
226	,	['']	[]
227	alsmede	['']	[]
228	op	['']	[]
229	de	['']	[]
230	daarbij	['']	[]
231	vermelde	['']	[]
232	rechtsmiddelclausule	['']	[]
233	.	['']	[]
234	Besluit	['']	[]
235	Gezien	['']	[]
236	onze	['B_PER_2']	['B_PER_7']
237	recente	['']	[]
238	bevindingen	['']	[]
239	hebben	['']	[]
240	wij	['B_PER_2']	['B_PER_8']
241	besloten	['']	[]
242	om	['']	[]
243	niet	['']	[]
244	tot	['']	[]
245	handhaving	['']	[]
246	over	['']	[]
247	te	['']	[]
248	gaan	['']	[]
249	aangezien	['']	[]
250	het	['']	[]
251	huidige	['']	[]
252	gebruik	['']	[]
253	van	['']	[]
254	en	['']	[]
255	de	['']	[]
256	bouwactiviteiten	['']	[]
257	op	['']	[]
258	het	['']	[]
259	bovengenoemde	['']	[]
260	perceel	['']	[]
261	niet	['']	[]
262	in	['']	[]
263	strijd	['']	[]
264	zijn	['']	[]
265	met	['']	[]
266	de	['']	[]
267	verleende	['']	[]
268	omgevingsvergunning	['']	[]
269	en	['']	[]
270	van	['']	[]
271	toepassing	['']	[]
272	zijnde	['']	[]
273	wettelijke	['']	[]
274	voorschriften	['']	[]
275	.	['']	[]
276	Wij	['B_PER_2']	['B_PER_9']
277	wijzen	['']	[]
278	daarom	['']	[]
279	het	['']	[]
280	door	['']	[]
281	u	['B_PER_1']	['B_PER_10']
282	ingediende	['']	[]
283	verzoek	['']	[]
284	af	['']	[]
285	.	['']	[]
286	Graaf	['B_PER_2']	[]
287	Wichman	['I_PER_2']	[]
288	10	['']	[]
289	,	['']	[]
290	1276	['']	[]
291	KB	['']	[]
292	Huizen	['']	[]
293	Postbus	['']	[]
294	5	['']	[]
295	,	['']	[]
296	1270	['']	[]
297	AA	['']	[]
298	Huizen	['']	[]
299	T	['']	[]
300	14	['']	[]
301	35	['']	[]
302	F	['']	[]
303	(	['']	[]
304	35	['']	[]
305	)	['']	[]
306	528	['']	[]
307	14	['']	[]
308	15	['']	[]
309	E	['']	[]
310	gemeente@huizen.nl	['']	[]
311	www.huizen.nl	['']	[]
312	Mw.	['B_PER_1']	['B_PER_11']
313	G.	['I_PER_1']	['I_PER_11']
314	Westland	['I_PER_1']	[]
315	Ceintuurbaan	['']	[]
316	2A	['']	[]
317	1271	['']	[]
318	BH	['']	[]
319	HUIZEN	['']	[]
320	3	['']	[]
321	.	['']	[]
322	b	['']	[]
323	en	['']	[]
324	s	['']	[]
325	Gemeente	['']	[]
326	Huizen	['']	[]
327	vervolgblad	['']	[]
328	2	['']	[]
329	1.	['']	[]
330	2	['']	[]
331	.	['']	[]
332	Heeft	['B_PER_1']	[]
333	u	['']	['B_PER_12']
334	bezwaar	['']	[]
335	?	['']	[]
336	Als	['B_PER_1']	[]
337	u	['']	['B_PER_13']
338	het	['']	[]
339	niet	['']	[]
340	eens	['']	[]
341	bent	['']	[]
342	met	['']	[]
343	het	['']	[]
344	besluit	['']	[]
345	,	['']	[]
346	kunt	['B_PER_1']	[]
347	u	['']	['B_PER_14']
348	aan	['']	[]
349	het	['']	[]
350	college	['']	[]
351	van	['']	[]
352	burgemeester	['']	[]
353	en	['']	[]
354	wethouders	['']	[]
355	een	['']	[]
356	bezwaarschrift	['']	[]
357	sturen	['']	[]
358	.	['']	[]
359	Het	['']	[]
360	adres	['']	[]
361	is	['']	[]
362	:	['']	[]
363	Gemeente	['']	[]
364	Huizen	['']	[]
365	,	['']	[]
366	Postbus	['']	[]
367	5	['']	[]
368	,	['']	[]
369	1270	['']	[]
370	AA	['']	[]
371	HUIZEN	['']	[]
372	.	['']	[]
373	Hoogachtend	['']	[]
374	,	['']	[]
375	burgemeester	['']	[]
376	en	['']	[]
377	wethouders	['']	[]
378	.	['']	[]
379	Vragen	['']	[]
380	Heeft	['B_PER_1']	[]
381	u	['']	['B_PER_15']
382	nog	['']	[]
383	vragen	['']	[]
384	over	['']	[]
385	deze	['']	[]
386	brief	['']	[]
387	?	['']	[]
388	Neem	['']	[]
389	dan	['']	[]
390	contact	['']	[]
391	op	['']	[]
392	met	['']	[]
393	de	['B_PER_3']	[]
394	heer	['I_PER_3']	['B_PER_11']
395	M.	['I_PER_3']	['I_PER_11']
396	Dickmann	['']	['I_PER_11']
397	,	['']	[]
398	telefoonnummer	['']	[]
399	35	['']	[]
400	528	['']	[]
401	15	['']	[]
402	11	['']	[]
403	.	['']	[]
404	Of	['']	[]
405	stuur	['']	[]
406	een	['']	[]
407	e-mail	['']	[]
408	naar	['']	[]
409	:	['B_PER_3']	[]
410	m.dickmann@huizen.nl	['']	[]
411	.	['']	[]
412	Dient	['B_PER_1']	[]
413	u	['']	[]
414	het	['']	['B_PER_16']
415	bezwaarschrift	['']	[]
416	in	['']	[]
417	binnen	['']	[]
418	zes	['']	[]
419	weken	['']	[]
420	na	['']	[]
421	de	['']	[]
422	dag	['']	[]
423	waarop	['']	[]
424	deze	['']	[]
425	brief	['']	[]
426	is	['']	[]
427	verzonden	['']	[]
428	.	['']	[]
429	Zorgt	['B_PER_1']	[]
430	u	['']	[]
431	ervoor	['']	['B_PER_16']
432	dat	['']	[]
433	het	['']	[]
434	bezwaarschrift	['']	[]
435	ten	['']	[]
436	minste	['']	[]
437	de	['']	[]
438	volgende	['']	[]
439	gegevens	['']	[]
440	bevat	['']	[]
441	:	['B_PER_1']	[]
442	uw	['']	[]
443	naam	['']	[]
444	,	['']	[]
445	adres	['']	[]
446	en	['']	[]
447	handtekening	['']	[]
448		['']	[]
449	een	['']	[]
450	omschrijving	['']	[]
451	van	['']	[]
452	het	['']	[]
453	besluit	['']	[]
454	waartegen	['']	[]
455	het	['']	[]
456	bezwaarschrift	['']	[]
457	is	['']	[]
458	gericht	['']	[]
459	(	['B_PER_1']	[]
460	u	['']	['B_PER_17']
461	kunt	['']	[]
462	bijvoorbeeld	['']	[]
463	datum	['']	[]
464	en	['']	[]
465	kenmerk	['']	[]
466	van	['']	[]
467	de	['']	[]
468	brief	['']	[]
469	vermelden	['']	[]
470	of	['']	[]
471	een	['']	[]
472	kopie	['']	[]
473	meesturen	['']	[]
474	)	['']	[]
475	de	['']	[]
476	reden(en	['']	[]
477	)	['']	[]
478	waarom	['']	[]
479	u	['B_PER_1']	['B_PER_18']
480	bezwaar	['']	[]
481	maakt	['']	[]
482	.	['']	[]
483	Wanneer	['']	[]
484	u	['B_PER_1']	['B_PER_19']
485	een	['']	[]
486	bezwaarschrift	['']	[]
487	indient	['']	[]
488	,	['']	[]
489	kunt	['']	[]
490	u	['B_PER_1']	['B_PER_20']
491	tevens	['']	[]
492	een	['']	[]
493	verzoek	['']	[]
494	indienen	['']	[]
495	tot	['']	[]
496	het	['']	[]
497	treffen	['']	[]
498	van	['']	[]
499	een	['']	[]
500	voorlopige	['']	[]
501	voorziening	['']	[]
502	bij	['']	[]
503	de	['']	[]
504	voorzieningenrechter	['']	[]
505	van	['']	[]
506	de	['']	[]
507	rechtbank	['']	[]
508	Midden-Nederland	['']	[]
509	,	['']	[]
510	postbus	['']	[]
511	16005	['']	[]
512	,	['']	[]
513	3500	['']	[]
514	DA	['']	[]
515	Utrecht	['']	[]
516	.	['']	[]
